rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29258,BRAYBROOK NORTH,NSW,,10888,78,BRAYBROOK NORTH|NSW,BURWOOD NORTH|NSW
29258,BRAYBROOK NORTH,NSW,,13607,78,BRAYBROOK NORTH|NSW,NORTH NAROOMA|NSW
29260,ROBINSON,NSW,,14070,80,ROBINSON|NSW,ROBERTSON|NSW
29260,ROBINSON,NSW,,13699,73,ROBINSON|NSW,OBERON|NSW
29260,ROBINSON,NSW,,14116,73,ROBINSON|NSW,ROSLYN|NSW
29264,GLENGALA,NSW,,10368,83,GLENGALA|NSW,BENGALLA|NSW
29264,GLENGALA,NSW,,11984,83,GLENGALA|NSW,GLENDALE|NSW
29264,GLENGALA,NSW,,12177,82,GLENGALA|NSW,GUNGAL|NSW
29267,SUNSHINE NORTH,NSW,,14461,80,SUNSHINE NORTH|NSW,SUNSHINE|NSW
29267,SUNSHINE NORTH,NSW,,13618,79,SUNSHINE NORTH|NSW,NORTH SHORE|NSW
29267,SUNSHINE NORTH,NSW,,22900,78,SUNSHINE NORTH|NSW,SUNSHINE NORTH|VIC
29269,SUNSHINE WEST,NSW,,14461,83,SUNSHINE WEST|NSW,SUNSHINE|NSW
29269,SUNSHINE WEST,NSW,,22903,76,SUNSHINE WEST|NSW,SUNSHINE WEST|VIC
29269,SUNSHINE WEST,NSW,,14462,73,SUNSHINE WEST|NSW,SUNSHINE BAY|NSW
29278,ARDEER,NSW,,10007,82,ARDEER|NSW,ABERDEEN|NSW
29278,ARDEER,NSW,,10915,80,ARDEER|NSW,CADGEE|NSW
29278,ARDEER,NSW,,12228,80,ARDEER|NSW,HARDEN|NSW
29280,DEER PARK EAST,NSW,,20876,78,DEER PARK EAST|NSW,DEER PARK EAST|VIC
29280,DEER PARK EAST,NSW,,11482,77,DEER PARK EAST|NSW,DEAN PARK|NSW
29280,DEER PARK EAST,NSW,,10407,74,DEER PARK EAST|NSW,BEVERLEY PARK|NSW
29286,CAIRNLEA,NSW,,10956,82,CAIRNLEA|NSW,CAMIRA|NSW
29286,CAIRNLEA,NSW,,11010,80,CAIRNLEA|NSW,CARNSDALE|NSW
29286,CAIRNLEA,NSW,,10999,78,CAIRNLEA|NSW,CARINDA|NSW
29288,CAROLINE SPRINGS,NSW,,20599,80,CAROLINE SPRINGS|NSW,CAROLINE SPRINGS|VIC
29288,CAROLINE SPRINGS,NSW,,12502,78,CAROLINE SPRINGS|NSW,KARS SPRINGS|NSW
29288,CAROLINE SPRINGS,NSW,,14345,78,CAROLINE SPRINGS|NSW,SPRING CREEK|NSW
29292,DEER PARK NORTH,NSW,,11665,80,DEER PARK NORTH|NSW,EDENSOR PARK|NSW
29292,DEER PARK NORTH,NSW,,20877,79,DEER PARK NORTH|NSW,DEER PARK NORTH|VIC
29292,DEER PARK NORTH,NSW,,11482,75,DEER PARK NORTH|NSW,DEAN PARK|NSW
29294,RAVENHALL,NSW,,14005,81,RAVENHALL|NSW,RAVENSDALE|NSW
29294,RAVENHALL,NSW,,15480,80,RAVENHALL|NSW,WRATHALL|NSW
29294,RAVENHALL,NSW,,15037,73,RAVENHALL|NSW,URANA|NSW
29296,FIELDSTONE,NSW,,11963,81,FIELDSTONE|NSW,GLADSTONE|NSW
29296,FIELDSTONE,NSW,,12812,81,FIELDSTONE|NSW,LIMESTONE|NSW
29296,FIELDSTONE,NSW,,12852,81,FIELDSTONE|NSW,LOADSTONE|NSW
29298,MAMBOURIN,NSW,,10129,78,MAMBOURIN|NSW,AUBURN|NSW
