ssc,suburb_name,state,postcodes
10147,AVISFORD,NSW,2850
10148,GARVOC,NSW,2577
10149,AVOCA BEACH,NSW,2251
10150,AVON,NSW,2574
10151,AVONDALE,NSW,2530
10152,DEANSIDE,NSW,2628
10153,AWABA,NSW,2283
10154,AYLMERTON,NSW,2575
10155,BAAN BAA,NSW,2390
10156,BABINDA,NSW,2825
10157,BABYL CREEK,NSW,2470
10158,BACK CREEK,NSW,2372
10159,BACK CREEK,NSW,2390
10160,BACK CREEK,NSW,2422
10161,BACK CREEK,NSW,2480
10162,BACK CREEK,NSW,2484
10163,BACK CREEK,NSW,2622
10164,BACK CREEK,NSW,2671
10165,BACK CREEK,NSW,2729
10166,BEECH FOREST,NSW,2535
10167,BACKMEDE,NSW,2470
10168,BREAKWATER,NSW,2365
10169,BADAGARANG,NSW,2540
10170,BADGERYS CREEK,NSW,2555
10171,BADJA,NSW,2630
10172,BAERAMI,NSW,2333
10173,BAERAMI CREEK,NSW,2333
10174,BAGNOO,NSW,2446
10175,BAGO,NSW,2446
10176,BAGO,NSW,2730
10177,BAGOTVILLE,NSW,2477
10178,BAKERS CREEK,NSW,2358
10179,BAKERS CREEK,NSW,2359
10180,BAKERS CREEK,NSW,2422
10181,BAKERS CREEK,NSW,2447
10182,BAKERS SWAMP,NSW,2820
10183,BALACLAVA,NSW,2575
10184,BALALA,NSW,2358
10185,LAANG,NSW,2529
10186,BALWYN,NSW,2264
10187,BALD BLAIR,NSW,2365
10188,BALD HILLS,NSW,2549
10189,BALD NOB,NSW,2370
10190,BALD RIDGE,NSW,2795
10191,BALDERSLEIGH,NSW,2365
10192,BALDRY,NSW,2867
10193,BALFOURS PEAK,NSW,2403
10194,BALGOWLAH,NSW,2093
10195,BALGOWLAH HEIGHTS,NSW,2093
10196,BAMGANIE,NSW,2519
10197,BALICKERA,NSW,2324
10198,BALLARAT,NSW,2822
10199,BALLADORAN,NSW,2831
10200,BALLALABA,NSW,2622
10201,BRADVALE,NSW,2646
10202,BALLENGARRA,NSW,2441
10203,BALLIMORE,NSW,2830
10204,BALLINA,NSW,2478
10205,BALLINA DC,NSW,2478
10206,BALLYROGAN,NSW,2795
10207,BATMAN,NSW,2041
10208,BALWYN EAST,NSW,2041
10209,BALMORAL,NSW,2283
10210,BALMORAL,NSW,2571
10211,BALMORAL VILLAGE,NSW,2571
10212,BALRANALD,NSW,2715
10213,BAMARANG,NSW,2540
10214,BANDA BANDA,NSW,2446
10215,HADDON,NSW,2871
10216,BANDON GROVE,NSW,2420
10217,BANGERANG,NSW,2729
10218,BANGALEE,NSW,2541
10219,BANGALOW,NSW,2479
10220,BANGHEET,NSW,2404
10221,BANGO,NSW,2582
