rowid,suburb_name,state,postcode,ssc,candidate_ssc1,candidate_ssc2,candidate_ssc3,score1,score2,score3,matched_canonical_key1,matched_canonical_key2,matched_canonical_key3
29672,DONCASTER,NSW,,,11526,13059,13547,77,77,77,DIRNASEER|NSW,MCALISTER|NSW,NEWCASTLE|NSW
29686,WARRANDYTE,NSW,,,15160,15176,23258,79,79,79,WARRADERRY|NSW,WARRENDINE|NSW,WARRANDYTE|VIC
29692,CHIRNSIDE PARK,NSW,,,10946,20665,10106,78,78,76,CAMBRIDGE PARK|NSW,CHIRNSIDE PARK|VIC,ARNDELL PARK|NSW
29774,NUNAWADING,NSW,,,15127,13668,13942,74,72,72,WANAARING|NSW,NUNDERI|NSW,PUCAWAN|NSW
29784,VERMONT SOUTH,NSW,,,23170,14334,14328,76,75,74,VERMONT SOUTH|VIC,SOUTHAMPTON|NSW,SOUTH TAMWORTH|NSW
29796,BEDFORD ROAD,NSW,,,50104,20223,10323,77,75,74,BEDFORD|WA,BEDFORD ROAD|VIC,BELFORD|NSW
29807,CROYDON SOUTH,NSW,,,10951,11380,14307,79,79,79,CAMDEN SOUTH|NSW,CROYDON|NSW,SOUTH COOGEE|NSW
29809,KILSYTH,NSW,,,12551,21626,10025,74,73,70,KIAH|NSW,KILSYTH|VIC,AIRLY|NSW
29811,KILSYTH SOUTH,NSW,,,14316,14318,21627,77,76,76,SOUTH HILL|NSW,SOUTH KEMPSEY|NSW,KILSYTH SOUTH|VIC
29821,LAUNCHING PLACE,NSW,,,21765,10073,12868,79,76,67,LAUNCHING PLACE|VIC,ANGUS PLACE|NSW,LONG PLAIN|NSW
29838,DOMAIN ROAD PO,NSW,,,20923,13832,13195,78,69,67,DOMAIN ROAD PO|VIC,PELAW MAIN|NSW,MISSENDEN ROAD|NSW
29842,HAWKSBURN,NSW,,,10129,11095,21372,78,77,77,AUBURN|NSW,CHATSBURY|NSW,HAWKSBURN|VIC
29903,WANTIRNA,NSW,,,15079,15130,14836,78,78,76,WAITARA|NSW,WANDERA|NSW,TIONA|NSW
29905,WANTIRNA SOUTH,NSW,,,23239,14332,14334,78,74,73,WANTIRNA SOUTH|VIC,SOUTH WINDSOR|NSW,SOUTHAMPTON|NSW
29924,UPWEY,NSW,,,15237,13953,15280,78,74,74,WELBY|NSW,PUTNEY|NSW,WESTBY|NSW
29948,BOORAN ROAD PO,NSW,,,20359,13913,10609,78,73,69,BOORAN ROAD PO|VIC,PORT BOTANY|NSW,BOORABEE PARK|NSW
29962,HUGHESDALE,NSW,,,21457,11984,10067,79,77,74,HUGHESDALE|VIC,GLENDALE|NSW,ANGLEDALE|NSW
29968,OAKLEIGH EAST,NSW,,,22402,13729,13991,76,75,71,OAKLEIGH EAST|VIC,ORANGE EAST|NSW,RALEIGH|NSW
29970,OAKLEIGH SOUTH,NSW,,,22403,13845,14326,78,74,74,OAKLEIGH SOUTH|VIC,PENRITH SOUTH|NSW,SOUTH PENRITH|NSW
29984,SANDOWN VILLAGE,NSW,,,22690,14244,14805,79,74,74,SANDOWN VILLAGE|VIC,SHANNON VALE|NSW,THREDBO VILLAGE|NSW
29996,NOBLE PARK EAST,NSW,,,22345,13096,11735,79,78,76,NOBLE PARK EAST|VIC,MENANGLE PARK|NSW,ESCHOL PARK|NSW
30008,DUNEARN,NSW,,,10828,11590,11599,78,78,78,BUNDEMAR|NSW,DUNBOGAN|NSW,DUNGEREE|NSW
30010,SCORESBY BC,NSW,,,14297,22701,14046,74,73,69,SOMERSBY|NSW,SCORESBY BC|VIC,REVESBY|NSW
30024,PRAHRAN EAST,NSW,,,11648,13729,22535,77,77,75,EAST SEAHAM|NSW,ORANGE EAST|NSW,PRAHRAN EAST|VIC
30030,ST KILDA SOUTH,NSW,,,14384,22836,14316,78,78,75,ST MARYS SOUTH|NSW,ST KILDA SOUTH|VIC,SOUTH HILL|NSW
30032,ST KILDA WEST,NSW,,,22837,12609,13054,76,71,71,ST KILDA WEST|VIC,KINGSWAY WEST|NSW,MAYFIELD WEST|NSW
30035,ST KILDA EAST,NSW,,,11641,14383,22831,79,76,76,EAST KILLARA|NSW,ST MARYS EAST|NSW,ST KILDA EAST|VIC
30037,BRIGHTON ROAD,NSW,,,10702,10703,40192,79,79,79,BRIGHTON LE SANDS|NSW,BRIGHTON-LE-SANDS|NSW,BRIGHTON|SA
30045,RIPPONLEA,NSW,,,14836,15044,14062,73,73,72,TIONA|NSW,URILA|NSW,RIVERLEA|NSW
30053,WERE STREET PO,NSW,,,23316,14699,15493,78,69,69,WERE STREET PO|VIC,TAREE WEST|NSW,WYEE POINT|NSW
30071,HIGHETT,NSW,,,10509,21417,11106,73,73,72,BLIGHTY|NSW,HIGHETT|VIC,CHICHESTER|NSW
30100,MORDIALLOC,NSW,,,22117,13288,13277,79,77,75,MORDIALLOC|VIC,MORTDALE|NSW,MORAGO|NSW
30106,WATERWAYS,NSW,,,15194,15200,23281,77,77,77,WATERFALL|NSW,WATERVIEW|NSW,WATERWAYS|VIC
30118,PATTERSON LAKES,NSW,,,22453,13812,12309,79,77,71,PATTERSON LAKES|VIC,PATERSON|NSW,HMAS WATSON|NSW
30146,MCKINNON,NSW,,,13185,11112,11183,76,75,75,MINTO|NSW,CHINNOCK|NSW,COLINTON|NSW
30162,PORT MELBOURNE,NSW,,,22522,22361,13913,78,76,73,PORT MELBOURNE|VIC,NORTH MELBOURNE|VIC,PORT BOTANY|NSW
30169,POINT WILSON,NSW,,,13903,14196,14728,79,77,76,POINT WOLSTONCROFT|NSW,SANDY POINT|NSW,TENNYSON POINT|NSW
