rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
29461,MORELAND WEST,NSW,,13117,83,MERRYLANDS WEST|NSW
29465,BRUNSWICK LOWER,NSW,,20441,84,BRUNSWICK LOWER|VIC
29467,BRUNSWICK NORTH,NSW,,20442,84,BRUNSWICK NORTH|VIC
29471,LYGON STREET NORTH,NSW,,21856,82,LYGON STREET NORTH|VIC
29473,SUMNER,NSW,,14197,80,SANGER|NSW
29479,COBURG NORTH,NSW,,12069,82,GOULBURN NORTH|NSW
29481,MERLYNSTON,NSW,,11702,80,EMERTON|NSW
29487,FAWKNER,NSW,,11789,78,FALCONER|NSW
29489,FAWKNER EAST,NSW,,21079,81,FAWKNER EAST|VIC
29491,FAWKNER NORTH,NSW,,21080,82,FAWKNER NORTH|VIC
29493,CAMPBELLFIELD,NSW,,10322,83,BELFIELD|NSW
29496,OAKLANDS JUNCTION,NSW,,22400,81,OAKLANDS JUNCTION|VIC
29498,YUROKE,NSW,,14077,76,ROCKLEY|NSW
29504,KALKALLO,NSW,,10938,75,CALWALLA|NSW
29506,MICKLEHAM,NSW,,22007,77,MICKLEHAM|VIC
29508,ROXBURGH PARK,NSW,,13798,76,PARKESBOROUGH|NSW
29517,CLIFTON HILL,NSW,,11140,81,CLIFTON|NSW
29519,FITZROY NORTH,NSW,,21098,82,FITZROY NORTH|VIC
29521,NORTHCOTE,NSW,,13526,81,NETHERCOTE|NSW
29523,NORTHCOTE SOUTH,NSW,,22369,79,NORTHCOTE SOUTH|VIC
29525,THORNBURY,NSW,,14121,80,ROTHBURY|NSW
29533,PRESTON LOWER,NSW,,12907,80,LOWER PORTLAND|NSW
29535,PRESTON SOUTH,NSW,,13932,83,PRESTONS|NSW
29539,REGENT WEST,NSW,,14699,83,TAREE WEST|NSW
29541,SYLVESTER,NSW,,14268,79,SILVERWATER|NSW
29545,RESERVOIR,NSW,,51487,72,RESERVOIR|WA
29547,RESERVOIR EAST,NSW,,22593,78,RESERVOIR EAST|VIC
29549,RESERVOIR NORTH,NSW,,22594,79,RESERVOIR NORTH|VIC
29551,RESERVOIR SOUTH,NSW,,22595,79,RESERVOIR SOUTH|VIC
29553,THOMASTOWN,NSW,,14803,77,THORNTON|NSW
29555,LALOR,NSW,,11894,84,GALORE|NSW
29557,LALOR PLAZA,NSW,,12725,83,LALOR PARK|NSW
29567,IVANHOE EAST,NSW,,12403,81,IVANHOE|NSW
29569,IVANHOE NORTH,NSW,,21497,82,IVANHOE NORTH|VIC
29575,HEIDELBERG RGH,NSW,,21398,78,HEIDELBERG RGH|VIC
29577,HEIDELBERG WEST,NSW,,21399,84,HEIDELBERG WEST|VIC
29583,KINGSBURY,NSW,,12386,77,INGLEBURN|NSW
29585,LA TROBE UNIVERSITY,NSW,,21700,83,LA TROBE UNIVERSITY|VIC
29587,BANYULE,NSW,,10796,80,BULEE|NSW
29591,HEIDELBERG,NSW,,12270,79,HECKENBERG|NSW
29593,ROSANNA,NSW,,14132,80,ROWAN|NSW
29595,VIEWBANK,NSW,,14022,78,REDBANK|NSW
29599,MACLEOD WEST,NSW,,21869,81,MACLEOD WEST|VIC
29602,WATSONIA,NSW,,15212,82,WATTON|NSW
29604,WATSONIA NORTH,NSW,,23284,83,WATSONIA NORTH|VIC
29615,PLENTY,NSW,,13843,76,PENRITH|NSW
29619,LOWER PLENTY,NSW,,12907,76,LOWER PORTLAND|NSW
29621,MONTMORENCY,NSW,,13238,81,MONTEREY|NSW
29624,ELTHAM NORTH,NSW,,13585,83,NORTH ARM|NSW
29626,RESEARCH,NSW,,14897,78,TREGEAR|NSW
29628,WATTLE GLEN,NSW,,15208,84,WATTLE GROVE|NSW
29630,BEND OF ISLANDS,NSW,,20257,79,BEND OF ISLANDS|VIC
29632,KANGAROO GROUND,NSW,,21559,84,KANGAROO GROUND|VIC
29637,COTTLES BRIDGE,NSW,,20782,83,COTTLES BRIDGE|VIC
29639,HURSTBRIDGE,NSW,,13641,80,NORTHBRIDGE|NSW
29641,NUTFIELD,NSW,,14731,81,TENTERFIELD|NSW
29648,KEW EAST,NSW,,11656,80,EASTLAKES|NSW
29650,BALWYN,NSW,,10186,82,BALCOLYN|NSW
29652,BALWYN EAST,NSW,,10208,84,BALMAIN EAST|NSW
29656,DEEPDENE DC,NSW,,20874,80,DEEPDENE DC|VIC
29658,STRADBROKE PARK,NSW,,22863,79,STRADBROKE PARK|VIC
29660,BALWYN NORTH,NSW,,13606,84,NORTH MANLY|NSW
29662,GREYTHORN,NSW,,12011,81,GLENTHORNE|NSW
29666,BULLEEN SOUTH,NSW,,14303,82,SOUTH BALLINA|NSW
29668,TEMPLESTOWE,NSW,,14723,75,TEMPE|NSW
29670,TEMPLESTOWE LOWER,NSW,,23005,81,TEMPLESTOWE LOWER|VIC
29672,DONCASTER,NSW,,11526,77,DIRNASEER|NSW
29674,DONCASTER EAST,NSW,,20927,83,DONCASTER EAST|VIC
29680,TUNSTALL SQUARE PO,NSW,,23122,82,TUNSTALL SQUARE PO|VIC
29682,DONVALE,NSW,,13233,82,MONIVAE|NSW
29686,WARRANDYTE,NSW,,15160,79,WARRADERRY|NSW
29688,PARK ORCHARDS,NSW,,13725,80,ORAN PARK|NSW
29692,CHIRNSIDE PARK,NSW,,10946,78,CAMBRIDGE PARK|NSW
29701,RICHMOND EAST,NSW,,14053,83,RICHMOND|NSW
29705,RICHMOND SOUTH,NSW,,14053,80,RICHMOND|NSW
29710,GLENFERRIE SOUTH,NSW,,11711,81,ENFIELD SOUTH|NSW
29714,HAWTHORN NORTH,NSW,,12215,83,HAMILTON NORTH|NSW
29716,HAWTHORN WEST,NSW,,21376,82,HAWTHORN WEST|VIC
29719,HAWTHORN EAST,NSW,,12214,82,HAMILTON EAST|NSW
29724,CAMBERWELL SOUTH,NSW,,10940,82,CAMBERWELL|NSW
29732,BENNETTSWOOD,NSW,,20267,81,BENNETTSWOOD|VIC
29735,SURREY HILLS SOUTH,NSW,,22907,82,SURREY HILLS SOUTH|VIC
29740,MONT ALBERT,NSW,,10028,80,ALBERT|NSW
29744,SURREY HILLS NORTH,NSW,,22906,82,SURREY HILLS NORTH|VIC
29754,WATTLE PARK,NSW,,15327,83,WILEY PARK|NSW
29758,KERRIMUIR,NSW,,12542,81,KERRIGUNDI|NSW
29764,BLACKBURN NORTH,NSW,,20313,84,BLACKBURN NORTH|VIC
29768,LABURNUM,NSW,,10129,82,AUBURN|NSW
29770,BRENTFORD SQUARE,NSW,,20400,80,BRENTFORD SQUARE|VIC
29774,NUNAWADING,NSW,,15127,74,WANAARING|NSW
29778,MITCHAM NORTH,NSW,,22051,82,MITCHAM NORTH|VIC
29784,VERMONT SOUTH,NSW,,23170,76,VERMONT SOUTH|VIC
29790,RINGWOOD NORTH,NSW,,14059,80,RINGWOOD|NSW
29792,WARRANDYTE SOUTH,NSW,,23259,80,WARRANDYTE SOUTH|VIC
29796,BEDFORD ROAD,NSW,,50104,77,BEDFORD|WA
29800,RINGWOOD EAST,NSW,,14059,83,RINGWOOD|NSW
29803,CROYDON HILLS,NSW,,20815,82,CROYDON HILLS|VIC
29805,CROYDON NORTH,NSW,,20816,82,CROYDON NORTH|VIC
29807,CROYDON SOUTH,NSW,,10951,79,CAMDEN SOUTH|NSW
29809,KILSYTH,NSW,,12551,74,KIAH|NSW
29811,KILSYTH SOUTH,NSW,,14316,77,SOUTH HILL|NSW
29813,MOOROOLBARK,NSW,,22111,80,MOOROOLBARK|VIC
29815,BEENAK,NSW,,10826,82,BUNDEENA|NSW
29821,LAUNCHING PLACE,NSW,,21765,79,LAUNCHING PLACE|VIC
29825,SEVILLE EAST,NSW,,14113,80,ROSEVILLE CHASE|NSW
29827,WANDIN EAST,NSW,,23222,80,WANDIN EAST|VIC
29829,WANDIN NORTH,NSW,,23223,81,WANDIN NORTH|VIC
29831,WOORI YALLOCK,NSW,,23442,82,WOORI YALLOCK|VIC
29833,YELLINGBO,NSW,,15569,82,YENGO|NSW
29836,CHAPEL STREET NORTH,NSW,,20635,83,CHAPEL STREET NORTH|VIC
29838,DOMAIN ROAD PO,NSW,,20923,78,DOMAIN ROAD PO|VIC
29840,SOUTH YARRA,NSW,,14329,80,SOUTH TURRAMURRA|NSW
29842,HAWKSBURN,NSW,,10129,78,AUBURN|NSW
29844,TOORAK,NSW,,14801,84,THORA|NSW
