SAL_CODE_2021,SAL_NAME,Total_Population,Median_Age,Median_Income,Household_Size,STATE_NAME,Census_Year
SAL13499,Sandy Gully (NSW),15,60,1437,1.9,NSW,2021
SAL13500,Sandy Hill,44,59,1281,1.9,NSW,2021
SAL13501,Sandy Hollow,188,44,1300,2.4,NSW,2021
SAL13502,Sandy Point (NSW),597,41,2986,2.9,NSW,2021
SAL13503,Sanger,5,59,1249,2.0,NSW,2021
SAL13504,Sans Souci,10864,44,1863,2.5,NSW,2021
SAL13505,Sapphire,32,47,1375,2.8,NSW,2021
SAL13506,Sapphire Beach,2660,46,2056,2.6,NSW,2021
SAL13507,Saratoga,3982,43,1989,2.7,NSW,2021
SAL13508,Sassafras (NSW),18,61,900,1.5,NSW,2021
SAL13509,Saumarez,76,60,1468,2.2,NSW,2021
SAL13510,Saumarez Ponds,416,46,2045,2.7,NSW,2021
SAL13511,Savernake,67,40,1666,2.7,NSW,2021
SAL13512,Sawpit Creek,7,62,1375,1.6,NSW,2021
SAL13513,Sawtell,3788,47,1405,2.3,NSW,2021
SAL13514,Sawyers Gully,542,42,1847,3.2,NSW,2021
SAL13515,Scarborough (NSW),325,41,2571,3.1,NSW,2021
SAL13516,Scheyville,7,35,6999,5.0,NSW,2021
SAL13517,Schofields,15213,32,2696,3.2,NSW,2021
SAL13518,Scone,5824,39,1507,2.4,NSW,2021
SAL13519,Scotia,12,61,575,1.4,NSW,2021
SAL13520,Scotland Island,711,48,2397,2.5,NSW,2021
SAL13521,Scotts Creek (NSW),25,47,725,2.4,NSW,2021
SAL13522,Scotts Flat,43,32,1312,2.1,NSW,2021
SAL13523,Scotts Head,986,54,1212,2.2,NSW,2021
SAL13524,Seaforth (NSW),7384,42,4184,3.1,NSW,2021
SAL13525,Seaham,1011,41,2312,3.1,NSW,2021
SAL13526,Seahampton,292,37,1625,2.7,NSW,2021
SAL13527,Seal Rocks,56,46,1416,2.1,NSW,2021
SAL13528,Sebastopol (NSW),56,42,2250,2.6,NSW,2021
SAL13529,Sedgefield,254,37,2656,3.3,NSW,2021
SAL13530,Seelands,376,53,1468,2.6,NSW,2021
SAL13531,Sefton,6300,35,1528,3.3,NSW,2021
SAL13532,Segenhoe,219,39,1478,2.4,NSW,2021
SAL13533,Seven Hills (NSW),20095,37,1892,2.8,NSW,2021
SAL13534,Seven Oaks,56,46,1874,2.6,NSW,2021
SAL13535,Sextonville,30,48,1124,2.5,NSW,2021
SAL13536,Shadforth (NSW),104,49,2374,2.6,NSW,2021
SAL13537,Shallow Bay,68,50,1166,2.4,NSW,2021
SAL13538,Shalvey,3455,32,1180,3.0,NSW,2021
SAL13539,Shanes Park,384,39,1531,2.9,NSW,2021
SAL13540,Shannon Brook,182,39,1575,2.8,NSW,2021
SAL13541,Shannon Vale,143,45,1458,2.5,NSW,2021
SAL13542,Shannondale,76,36,1375,3.2,NSW,2021
SAL13543,Shannons Flat,87,54,1875,2.0,NSW,2021
SAL13544,Shark Creek,30,56,933,1.8,NSW,2021
SAL13545,Sharps Creek,13,42,2250,4.5,NSW,2021
SAL13546,Sheedys Gully,136,47,1625,2.5,NSW,2021
SAL13547,Shell Cove,7591,40,2452,3.0,NSW,2021
SAL13548,Shellharbour,3520,46,1596,2.5,NSW,2021
SAL13549,Shellharbour City Centre,457,71,949,1.6,NSW,2021
SAL13550,Shelly Beach (NSW),1313,47,1646,2.5,NSW,2021
SAL13551,Sherwood (Clarence Valley - NSW),68,43,900,2.4,NSW,2021
SAL13552,Sherwood (Kempsey - NSW),145,55,1303,2.5,NSW,2021
SAL13553,Sherwood (Kyogle - NSW),36,56,749,2.3,NSW,2021
SAL13554,Shoal Bay (NSW),1815,59,1007,2.0,NSW,2021
SAL13555,Shoalhaven Heads,3248,56,1066,2.1,NSW,2021
SAL13556,Shooters Hill,29,48,2749,2.6,NSW,2021
SAL13557,Shortland,4537,33,1344,2.3,NSW,2021
SAL13558,Silent Grove,11,67,1249,2.3,NSW,2021
SAL13559,Silverdale (NSW),4543,35,2654,3.3,NSW,2021
SAL13560,Silverton (NSW),48,58,1375,2.0,NSW,2021
SAL13561,Silverwater (Lake Macquarie - NSW),274,51,1387,2.4,NSW,2021
SAL13562,Silverwater (Parramatta - NSW),3600,35,1875,2.7,NSW,2021
SAL13563,Simpkins Creek,28,38,1625,3.0,NSW,2021
SAL13564,Singleton (NSW),5185,40,1517,2.3,NSW,2021
SAL13565,Singleton Heights,4896,33,1925,2.6,NSW,2021
SAL13566,Singleton Military Area,581,21,1625,3.3,NSW,2021
SAL13567,Singletons Mill,3,60,725,1.0,NSW,2021
SAL13568,Six Mile Swamp,0,0,0,0.0,NSW,2021
SAL13569,Skennars Head,1303,47,1674,2.5,NSW,2021
SAL13570,Skillion Flat,93,49,1562,2.7,NSW,2021
SAL13571,Skinners Shoot,130,40,1874,2.8,NSW,2021
SAL13572,Sleepy Hollow,123,47,1375,2.5,NSW,2021
SAL13573,Smeaton Grange,16,49,899,1.3,NSW,2021
SAL13574,Smiggin Holes,19,27,0,0.0,NSW,2021
SAL13575,Smithfield (NSW),13160,38,1300,3.1,NSW,2021
SAL13576,Smiths Creek (Clarence Valley - NSW),20,43,450,3.3,NSW,2021
SAL13577,Smiths Creek (Kyogle - NSW),55,57,1333,1.9,NSW,2021
SAL13578,Smiths Creek (Tweed - NSW),345,47,1187,2.5,NSW,2021
SAL13579,Smiths Lake,1332,49,1210,2.3,NSW,2021
SAL13580,Smithtown,625,43,1178,2.4,NSW,2021
SAL13581,Snakes Plain,14,40,1875,1.8,NSW,2021
SAL13582,Snowball,3,73,1199,1.5,NSW,2021
SAL13583,Snowy Plain,0,46,1874,2.0,NSW,2021
SAL13584,Sodwalls,94,52,1937,2.3,NSW,2021
SAL13585,Sofala,111,60,668,1.8,NSW,2021
SAL13586,Soldiers Point,1564,56,1350,2.2,NSW,2021
SAL13587,Somersby,1087,47,2215,3.0,NSW,2021
SAL13588,Somerton (NSW),272,38,1455,2.6,NSW,2021
SAL13589,South Albury,1372,40,1147,1.8,NSW,2021
SAL13590,South Arm (Clarence Valley - NSW),196,56,1452,2.5,NSW,2021
SAL13591,South Arm (Nambucca Valley - NSW),311,49,900,2.5,NSW,2021
SAL13592,South Ballina,27,56,1124,1.7,NSW,2021
SAL13593,South Bathurst,1583,38,1222,2.2,NSW,2021
SAL13594,South Bowenfels,1326,48,1608,2.4,NSW,2021
SAL13595,South Coogee,5611,42,2105,2.6,NSW,2021
SAL13596,South Durras,319,57,1398,2.1,NSW,2021
SAL13597,South Golden Beach,887,40,1620,2.5,NSW,2021
SAL13598,South Grafton,6288,40,975,2.4,NSW,2021
SAL13599,South Granville,5829,32,1104,3.3,NSW,2021
SAL13600,South Gundagai,781,45,1279,2.5,NSW,2021
SAL13601,South Gundurimba,355,47,1381,2.4,NSW,2021
SAL13602,South Guyra,385,40,827,2.1,NSW,2021
SAL13603,South Hurstville,5221,40,1867,2.8,NSW,2021
SAL13604,South Kempsey,2604,42,1074,2.6,NSW,2021
SAL13605,South Lismore,1775,39,1252,2.4,NSW,2021
SAL13606,South Littleton,317,39,1317,2.3,NSW,2021
SAL13607,South Maitland,432,44,995,2.1,NSW,2021
SAL13608,South Maroota,613,41,2424,3.1,NSW,2021
SAL13609,South Murwillumbah,1064,48,1292,2.4,NSW,2021
SAL13610,South Nowra,3165,33,1789,2.8,NSW,2021
SAL13611,South Pambula,493,42,1608,2.7,NSW,2021
SAL13612,South Penrith,12005,37,1870,2.7,NSW,2021
SAL13613,South Tamworth,6621,37,1029,2.2,NSW,2021
SAL13614,South Turramurra,3208,42,3447,3.1,NSW,2021
SAL13615,South Wentworthville,6913,35,1793,3.0,NSW,2021
SAL13616,South West Rocks,5058,58,980,2.1,NSW,2021
SAL13617,South Windsor,5948,34,1466,2.5,NSW,2021
SAL13618,South Wolumla,180,48,1471,2.6,NSW,2021
SAL13619,Southampton (NSW),33,44,1999,2.6,NSW,2021
SAL13620,Southgate,198,51,1321,2.4,NSW,2021
SAL13621,Speers Point,3400,45,1766,2.4,NSW,2021
SAL13622,Speewa,115,45,1375,2.9,NSW,2021
SAL13623,Spencer,288,52,913,2.0,NSW,2021
SAL13624,Spicers Creek,55,51,1125,2.8,NSW,2021
SAL13625,Spicketts Creek,32,60,1375,2.2,NSW,2021
SAL13626,Splitters Creek,312,47,2968,2.9,NSW,2021
SAL13627,Spring Creek (NSW),131,54,2050,2.6,NSW,2021
SAL13628,Spring Farm (NSW),9868,30,2403,3.0,NSW,2021
SAL13629,Spring Flat,345,36,2974,3.0,NSW,2021
SAL13630,Spring Grove,532,43,1837,2.9,NSW,2021
SAL13631,Spring Hill (Orange - NSW),526,38,1971,2.8,NSW,2021
SAL13632,Spring Hill (Wollongong - NSW),92,38,1937,2.9,NSW,2021
SAL13633,Spring Mountain (NSW),20,50,1562,3.2,NSW,2021
SAL13634,Spring Plains,73,34,1666,2.6,NSW,2021
SAL13635,Spring Ridge,266,40,1312,2.2,NSW,2021
SAL13636,Spring Terrace,123,50,1812,2.5,NSW,2021
SAL13637,Springdale (NSW),126,49,1562,2.5,NSW,2021
SAL13638,Springdale Heights,2644,37,1202,2.4,NSW,2021
SAL13639,Springfield (Central Coast - NSW),4310,37,2008,2.8,NSW,2021
SAL13640,Springfield (Snowy Monaro Regional - NSW),34,48,1749,2.5,NSW,2021
SAL13641,Springrange,498,43,2750,3.2,NSW,2021
SAL13642,Springside (NSW),303,45,2250,2.7,NSW,2021
SAL13643,Springvale (NSW),1851,41,3185,3.4,NSW,2021
SAL13644,Springwood (NSW),8423,48,1778,2.4,NSW,2021
SAL13645,St Albans (NSW),161,56,919,2.1,NSW,2021
SAL13646,St Andrews (NSW),5785,36,1837,3.0,NSW,2021
SAL13647,St Clair (Penrith - NSW),19942,36,2067,3.0,NSW,2021
SAL13648,St Clair (Singleton - NSW),17,36,2125,3.0,NSW,2021
SAL13649,St Fillans,259,43,1775,2.7,NSW,2021
SAL13650,St George (NSW),0,0,0,0.0,NSW,2021
SAL13651,St Georges Basin,3215,53,1113,2.3,NSW,2021
SAL13652,St Helens Park,6647,33,1850,3.0,NSW,2021
SAL13653,St Huberts Island,1080,58,1605,2.3,NSW,2021
SAL13654,St Ives (NSW),18384,43,2888,2.9,NSW,2021
SAL13655,St Ives Chase,3283,42,3306,3.2,NSW,2021
SAL13656,St Johns Park,6302,43,1567,3.3,NSW,2021
SAL13657,St Leonards (NSW),7212,34,2475,1.9,NSW,2021
SAL13658,St Marys (NSW),13256,34,1437,2.5,NSW,2021
SAL13659,St Peters (NSW),3629,35,2924,2.3,NSW,2021
SAL13660,Stanborough,85,48,1531,2.7,NSW,2021
SAL13661,Stanbridge,204,38,1125,2.5,NSW,2021
SAL13662,Stanford Merthyr,575,41,1337,2.5,NSW,2021
SAL13663,Stanhope (NSW),162,42,2200,3.0,NSW,2021
SAL13664,Stanhope Gardens,9349,37,2868,3.2,NSW,2021
SAL13665,Stanmore (NSW),7619,36,2395,2.3,NSW,2021
SAL13666,Stannifer,75,50,840,2.2,NSW,2021
SAL13667,Stannum,56,54,1312,2.5,NSW,2021
SAL13668,Stanwell Park,1532,45,2798,2.9,NSW,2021
SAL13669,Stanwell Tops,517,38,2663,3.0,NSW,2021
SAL13670,State Mine Gully,10,59,1374,1.8,NSW,2021
SAL13671,Steam Plains,0,56,0,0.0,NSW,2021
SAL13672,Steeple Flat,25,52,1312,2.4,NSW,2021
SAL13673,Stewarts Brook,24,59,1375,2.5,NSW,2021
SAL13674,Stewarts River,126,49,1406,2.5,NSW,2021
SAL13675,Stockinbingal,347,53,986,2.2,NSW,2021
SAL13676,Stockrington,92,37,1958,3.2,NSW,2021
SAL13677,Stockton (NSW),4046,47,1535,2.3,NSW,2021
SAL13678,Stockyard Creek (NSW),55,54,900,2.3,NSW,2021
SAL13679,Stokers Siding,692,48,1492,2.6,NSW,2021
SAL13680,Stonehenge (NSW),136,55,1406,2.4,NSW,2021
SAL13681,Stonequarry,34,47,2374,2.6,NSW,2021
SAL13682,Stony Chute,156,53,919,2.2,NSW,2021
SAL13683,Stony Creek (Bega Valley - NSW),151,48,1542,2.7,NSW,2021
SAL13684,Stony Creek (Mid-Western Regional - NSW),65,35,2249,3.1,NSW,2021
SAL13685,Stony Crossing,27,55,1624,3.1,NSW,2021
SAL13686,Stotts Creek,10,48,1749,2.8,NSW,2021
SAL13687,Stratford (NSW),161,47,979,2.1,NSW,2021
SAL13688,Strathcedar,88,42,1354,2.9,NSW,2021
SAL13689,Stratheden,220,47,1235,2.4,NSW,2021
SAL13690,Strathfield (NSW),25915,32,2262,2.8,NSW,2021
SAL13691,Strathfield South,3636,38,2045,2.8,NSW,2021
SAL13692,Stroud,988,48,1310,2.5,NSW,2021
SAL13693,Stroud Hill,31,53,780,2.4,NSW,2021
SAL13694,Stroud Road,242,49,1483,2.5,NSW,2021
SAL13695,Stuart Town,241,51,909,2.3,NSW,2021
SAL13696,Stuarts Point,766,55,777,2.0,NSW,2021
SAL13697,Stubbo,270,46,1305,2.6,NSW,2021
SAL13698,Stud Park,54,35,1625,2.8,NSW,2021
SAL13699,Suffolk Park,4222,39,2020,2.6,NSW,2021
SAL13700,Sugarloaf (NSW),65,57,1375,2.2,NSW,2021
SAL13701,Summer Hill (Dungog - NSW),128,43,1906,3.0,NSW,2021
SAL13702,Summer Hill (Inner West - NSW),7288,36,2260,2.1,NSW,2021
SAL13703,Summer Hill Creek,234,40,2562,3.0,NSW,2021
SAL13704,Summer Island,93,41,2100,3.1,NSW,2021
SAL13705,Summerland Point,2708,48,1312,2.5,NSW,2021
SAL13706,Sun Valley (NSW),234,47,2374,2.9,NSW,2021
SAL13707,Sunny Corner,94,59,1281,1.8,NSW,2021
SAL13708,Sunset Strip (NSW),42,63,537,1.5,NSW,2021
SAL13709,Sunshine (NSW),475,50,1575,2.5,NSW,2021
SAL13710,Sunshine Bay,1439,56,1138,2.1,NSW,2021
SAL13711,Suntop,61,47,2250,2.7,NSW,2021
SAL13712,Surf Beach (NSW),1934,53,1099,2.1,NSW,2021
SAL13713,Surfside,1456,47,1168,2.4,NSW,2021
SAL13714,Surry Hills,15828,35,2308,1.8,NSW,2021
SAL13715,Sussex Inlet,3888,61,887,2.0,NSW,2021
SAL13716,Sutherland (NSW),11570,37,1949,2.1,NSW,2021
SAL13717,Sutton (NSW),1556,44,3044,2.9,NSW,2021
SAL13718,Sutton Forest,504,50,2069,2.5,NSW,2021
SAL13719,Swan Bay (Port Stephens - NSW),310,52,1156,2.5,NSW,2021
SAL13720,Swan Bay (Richmond Valley - NSW),357,43,1833,2.9,NSW,2021
SAL13721,Swan Creek (NSW),106,37,900,2.8,NSW,2021
SAL13722,Swan Vale,35,45,1874,3.2,NSW,2021
SAL13723,Swanbrook,9,55,2124,2.8,NSW,2021
SAL13724,Swanhaven,196,65,809,1.8,NSW,2021
SAL13725,Swans Crossing,0,0,0,0.0,NSW,2021
SAL13726,Swansea (NSW),5044,53,1037,2.2,NSW,2021
SAL13727,Swansea Heads,609,46,2083,2.7,NSW,2021
SAL13728,Sweetmans Creek,44,58,1125,2.3,NSW,2021
SAL13729,Sydenham (NSW),1100,36,2245,2.5,NSW,2021
SAL13730,Sydney,16667,32,2227,2.1,NSW,2021
SAL13731,Sydney Olympic Park,4848,31,1975,2.0,NSW,2021
SAL13732,Sylvania,10749,46,1961,2.6,NSW,2021
SAL13733,Sylvania Waters,3200,43,2371,2.9,NSW,2021
SAL13734,Tabbil Creek,53,38,1718,3.6,NSW,2021
SAL13735,Tabbimoble,33,56,599,1.7,NSW,2021
SAL13736,Tabbita,76,34,2750,3.3,NSW,2021
SAL13737,Table Top,1516,42,2475,3.0,NSW,2021
SAL13738,Tabulam,508,51,701,2.2,NSW,2021
SAL13739,Tacoma,615,40,1679,3.0,NSW,2021
SAL13740,Tacoma South,257,43,1781,2.6,NSW,2021
SAL13741,Tahlee,28,28,966,2.4,NSW,2021
SAL13742,Tahmoor,5777,34,1739,2.7,NSW,2021
SAL13743,Talarm,242,50,1292,2.5,NSW,2021
SAL13744,Talawanta,19,59,949,1.9,NSW,2021
SAL13745,Talbingo,224,61,969,1.9,NSW,2021
SAL13746,Tallawang,165,38,1449,2.8,NSW,2021
SAL13747,Tallawong,6570,30,2759,3.2,NSW,2021
SAL13748,Tallimba,185,41,1202,2.7,NSW,2021
SAL13749,Tallong,914,48,1579,2.7,NSW,2021
SAL13750,Tallowal,0,0,0,0.0,NSW,2021
SAL13751,Tallowwood Ridge,25,60,387,1.6,NSW,2021
SAL13752,Tallwood,67,61,2036,2.2,NSW,2021
SAL13753,Tallwoods Village,993,60,1314,2.2,NSW,2021
SAL13754,Talmalmo,44,57,1375,1.9,NSW,2021
SAL13755,Talofa,103,47,3062,2.6,NSW,2021
SAL13756,Taloumbi,96,47,1292,2.7,NSW,2021
SAL13757,Tamarama,1478,36,4522,2.5,NSW,2021
SAL13758,Tamban,94,55,949,2.2,NSW,2021
SAL13759,Tambar Springs,273,50,1013,2.1,NSW,2021
SAL13760,Tambaroora,30,60,687,1.8,NSW,2021
SAL13761,Taminda,57,34,1375,2.2,NSW,2021
SAL13762,Tamworth,189,49,697,1.7,NSW,2021
SAL13763,Tanglewood,104,43,1875,2.2,NSW,2021
SAL13764,Tanilba Bay,3237,48,1131,2.4,NSW,2021
SAL13765,Tanja,174,58,1042,2.0,NSW,2021
SAL13766,Tannas Mount,47,45,1833,2.7,NSW,2021
SAL13767,Tantangara,0,0,0,0.0,NSW,2021
SAL13768,Tantawangalo,162,52,1333,2.4,NSW,2021
SAL13769,Tantonan,15,61,1375,1.9,NSW,2021
SAL13770,Tapitallee,625,52,2062,2.7,NSW,2021
SAL13771,Tara (NSW),47,39,1437,3.3,NSW,2021
SAL13772,Taradale (NSW),33,51,1312,2.2,NSW,2021
SAL13773,Tarago,510,40,2027,2.6,NSW,2021
SAL13774,Taralga,403,53,1166,2.1,NSW,2021
SAL13775,Tarana,187,48,1875,2.5,NSW,2021
SAL13776,Tarban,13,68,1149,1.9,NSW,2021
SAL13777,Tarbuck Bay,194,48,1021,2.4,NSW,2021
SAL13778,Tarcutta,425,43,1265,2.4,NSW,2021
SAL13779,Taree,16715,45,968,2.2,NSW,2021
SAL13780,Taree South,326,53,1067,2.2,NSW,2021
SAL13781,Taren Point,1879,58,1463,2.3,NSW,2021
SAL13782,Tarlo,171,53,1562,2.6,NSW,2021
SAL13783,Tarraganda,346,50,1612,2.4,NSW,2021
SAL13784,Tarrawanna,2184,48,1449,2.4,NSW,2021
SAL13785,Tarriaro,102,46,2125,2.8,NSW,2021
SAL13786,Tarro,1703,45,1167,2.3,NSW,2021
SAL13787,Tascott,1675,43,1882,2.5,NSW,2021
SAL13788,Tatham,225,41,1575,2.6,NSW,2021
SAL13789,Tathra,1527,56,1221,2.0,NSW,2021
SAL13790,Tatton,2560,40,2337,2.8,NSW,2021
SAL13791,Taylors Arm,133,54,885,2.2,NSW,2021
SAL13792,Taylors Beach (NSW),130,51,1625,2.3,NSW,2021
SAL13793,Taylors Flat,58,57,966,2.1,NSW,2021
SAL13794,Tea Gardens,3288,69,991,1.9,NSW,2021
SAL13795,Telarah,2318,36,1311,2.3,NSW,2021
SAL13796,Telegraph Point,604,47,1514,2.7,NSW,2021
SAL13797,Telopea,5356,40,1465,2.5,NSW,2021
SAL13798,Temagog,268,53,1087,2.3,NSW,2021
SAL13799,Temora,4706,48,1165,2.3,NSW,2021
SAL13800,Tempe,3550,39,2452,2.7,NSW,2021
SAL13801,Ten Mile Hollow,6,46,0,0.0,NSW,2021
SAL13802,Tenambit,3088,41,1251,2.4,NSW,2021
SAL13803,Tenandra,78,34,1875,3.5,NSW,2021
SAL13804,Tennyson (NSW),379,47,2133,2.8,NSW,2021
SAL13805,Tennyson Point,1247,42,3232,3.1,NSW,2021
SAL13806,Tenterden (NSW),41,44,1218,2.4,NSW,2021
SAL13807,Tenterfield,4067,55,933,2.1,NSW,2021
SAL13808,Teralba,2654,37,2060,2.6,NSW,2021
SAL13809,Terania Creek,207,49,949,2.2,NSW,2021
SAL13810,Terara,305,59,825,1.8,NSW,2021
SAL13811,Teridgerie,27,10,1749,4.0,NSW,2021
SAL13812,Termeil,273,53,1390,2.5,NSW,2021
SAL13813,Terrabella,14,36,3250,2.7,NSW,2021
SAL13814,Terrace Creek,40,46,824,2.1,NSW,2021
SAL13815,Terragon,98,44,2062,3.0,NSW,2021
SAL13816,Terramungamine,315,38,2172,2.8,NSW,2021
SAL13817,Terranora,3365,42,2120,3.0,NSW,2021
SAL13818,Terreel,3,68,450,1.0,NSW,2021
SAL13819,Terrey Hills,3142,47,2778,3.0,NSW,2021
SAL13820,Terrigal,12730,43,2056,2.6,NSW,2021
SAL13821,Terry Hie Hie,76,51,1749,2.4,NSW,2021
SAL13822,Teven,306,46,1825,2.8,NSW,2021
SAL13823,Tewinga,74,56,933,2.3,NSW,2021
SAL13824,Texas (NSW),23,50,1062,2.5,NSW,2021
SAL13825,Thalgarrah,166,38,1395,2.8,NSW,2021
SAL13826,Tharbogang,452,42,1912,2.9,NSW,2021
SAL13827,The Angle,86,47,1875,2.8,NSW,2021
SAL13828,The Basin (NSW),0,0,0,0.0,NSW,2021
SAL13829,The Bight,60,57,1062,2.2,NSW,2021
SAL13830,The Branch,130,44,1187,2.9,NSW,2021
SAL13831,The Brothers,30,45,2250,2.8,NSW,2021
SAL13832,The Channon,325,48,1300,2.4,NSW,2021
SAL13833,The Devils Wilderness,0,62,0,1.0,NSW,2021
SAL13834,The Entrance,4244,50,971,1.9,NSW,2021
SAL13835,The Entrance North,1619,46,1331,2.3,NSW,2021
SAL13836,The Freshwater,5,63,1749,2.0,NSW,2021
SAL13837,The Gap (Richmond Valley - NSW),0,0,0,0.0,NSW,2021
SAL13838,The Gap (Wagga Wagga - NSW),76,36,2125,3.1,NSW,2021
SAL13839,The Glen (NSW),5,48,1375,2.0,NSW,2021
SAL13840,The Gulf,0,0,0,0.0,NSW,2021
SAL13841,The Hatch,44,60,1375,2.5,NSW,2021
SAL13842,The Hill,2076,34,1849,2.0,NSW,2021
SAL13843,The Junction,994,43,1916,2.4,NSW,2021
SAL13844,The Lagoon,268,39,2303,2.8,NSW,2021
SAL13845,The Marra,76,48,2083,2.9,NSW,2021
SAL13846,The Meadows,22,42,1899,2.4,NSW,2021
SAL13847,The Oaks,2982,37,2265,3.1,NSW,2021
SAL13848,The Pilliga,0,0,0,0.0,NSW,2021
SAL13849,The Pinnacles,87,57,1437,2.4,NSW,2021
SAL13850,The Pocket,231,44,1812,2.9,NSW,2021
SAL13851,The Ponds,16315,35,3285,3.5,NSW,2021
SAL13852,The Ridgeway,162,52,2791,2.6,NSW,2021
SAL13853,The Risk,31,50,1812,2.6,NSW,2021
SAL13854,The Rock,1347,42,1358,2.6,NSW,2021
SAL13855,The Rocks (Bathurst Regional - NSW),70,49,3333,3.2,NSW,2021
SAL13856,The Rocks (Sydney - NSW),629,43,4374,1.7,NSW,2021
SAL13857,The Sandon,0,68,649,1.5,NSW,2021
SAL13858,The Slopes,327,45,2272,3.1,NSW,2021
SAL13859,The Whiteman,158,44,1770,2.7,NSW,2021
SAL13860,Theresa Creek (NSW),72,51,833,2.3,NSW,2021
SAL13861,Theresa Park,600,40,2522,3.4,NSW,2021
SAL13862,Thirldene,34,25,1625,3.7,NSW,2021
SAL13863,Thirlmere,4986,38,1708,2.7,NSW,2021
SAL13864,Thirroul,6348,43,2281,2.7,NSW,2021
SAL13865,Thora,311,49,1271,2.7,NSW,2021
SAL13866,Thornleigh,8898,40,2681,2.9,NSW,2021
SAL13867,Thornton (NSW),10690,32,2051,2.8,NSW,2021
SAL13868,Thredbo,405,37,1666,2.0,NSW,2021
SAL13869,Thrumster,2382,32,1988,2.9,NSW,2021
SAL13870,Thuddungra,137,50,1525,2.6,NSW,2021
SAL13871,Thule,25,61,1416,2.0,NSW,2021
SAL13872,Thumb Creek,36,53,725,2.1,NSW,2021
SAL13873,Thurgoona,11028,34,1953,2.8,NSW,2021
SAL13874,Thyra,17,35,1625,3.2,NSW,2021
SAL13875,Tianjara,7,49,1749,2.7,NSW,2021
SAL13876,Tibbuc,41,47,949,2.6,NSW,2021
SAL13877,Tibooburra,95,47,1833,2.5,NSW,2021
SAL13878,Tichborne,92,39,1542,2.7,NSW,2021
SAL13879,Tichular,0,73,75,2.0,NSW,2021
SAL13880,Tighes Hill,1801,36,2084,2.4,NSW,2021
SAL13881,Tilba Tilba,102,51,1125,2.4,NSW,2021
SAL13882,Tilbuster,49,50,2562,2.8,NSW,2021
SAL13883,Tilligerry Creek,0,0,0,0.0,NSW,2021
SAL13884,Tilpa,46,42,1187,2.5,NSW,2021
SAL13885,Timbarra (NSW),36,35,1833,3.1,NSW,2021
SAL13886,Timbillica,12,50,900,3.0,NSW,2021
SAL13887,Timbumburi,122,47,2291,2.7,NSW,2021
SAL13888,Timor (NSW),55,43,1531,2.7,NSW,2021
SAL13889,Tindarey,35,39,2250,3.4,NSW,2021
SAL13890,Tinderry,59,55,1916,2.2,NSW,2021
SAL13891,Tingha,774,47,897,2.4,NSW,2021
SAL13892,Tingira Heights,2043,40,1947,2.7,NSW,2021
SAL13893,Tinonee,1202,46,1294,2.5,NSW,2021
SAL13894,Tinpot,4,57,900,2.0,NSW,2021
SAL13895,Tintenbar,618,46,1896,2.9,NSW,2021
SAL13896,Tintinhull,433,43,1787,2.9,NSW,2021
SAL13897,Tiona,10,39,874,2.0,NSW,2021
SAL13898,Tipperary (NSW),34,52,849,2.0,NSW,2021
SAL13899,Tiri,3,64,575,1.3,NSW,2021
SAL13900,Tirrannaville,235,52,2023,2.3,NSW,2021
SAL13901,Titaatee Creek,23,59,1437,2.1,NSW,2021
SAL13902,Tocal,47,19,1125,2.0,NSW,2021
SAL13903,Tocumwal,2862,59,1067,2.2,NSW,2021
SAL13904,Tolbar,0,0,0,0.0,NSW,2021
SAL13905,Tolland,3459,34,1207,2.5,NSW,2021
SAL13906,Tolwong,0,0,0,0.0,NSW,2021
SAL13907,Tomago,269,60,788,1.7,NSW,2021
SAL13908,Tomakin,1233,54,1260,2.2,NSW,2021
SAL13909,Tomalla,6,40,1125,1.8,NSW,2021
SAL13910,Tombong,0,68,450,1.0,NSW,2021
SAL13911,Tomboye,36,57,833,1.7,NSW,2021
SAL13912,Tomerong,1194,42,1868,2.8,NSW,2021
SAL13913,Tomewin,98,48,1687,2.6,NSW,2021
SAL13914,Tomingley,342,50,1375,2.5,NSW,2021
SAL13915,Tomki,69,44,1208,2.7,NSW,2021
SAL13916,Toms Creek,33,55,700,2.1,NSW,2021
SAL13917,Tonderburine,112,44,1875,2.5,NSW,2021
SAL13918,Tongarra,141,46,3041,3.1,NSW,2021
SAL13919,Toogong,71,41,900,2.4,NSW,2021
SAL13920,Tooleybuc,336,40,1452,2.4,NSW,2021
SAL13921,Toolijooa,103,47,2250,2.7,NSW,2021
SAL13922,Tooloom,14,71,949,1.9,NSW,2021
SAL13923,Tooloon,34,49,2250,2.8,NSW,2021
SAL13924,Tooma,66,49,2125,2.4,NSW,2021
SAL13925,Toongabbie (NSW),16177,35,2106,2.9,NSW,2021
SAL13926,Toongi,62,43,1874,2.6,NSW,2021
SAL13927,Toonumbar,30,58,725,1.9,NSW,2021
SAL13928,Tooranie,12,43,1624,2.6,NSW,2021
SAL13929,Tooraweenah,253,46,1078,2.3,NSW,2021
SAL13930,Toormina,6171,45,1059,2.3,NSW,2021
SAL13931,Toorooka,47,58,762,2.2,NSW,2021
SAL13932,Toothdale,210,48,1978,2.7,NSW,2021
SAL13933,Tootool,51,49,2125,3.3,NSW,2021
SAL13934,Toowoon Bay,543,58,1168,2.0,NSW,2021
