SAL_CODE_2021,SAL_NAME,Total_Population,Median_Age,Median_Income,Household_Size,STATE_NAME,Census_Year
SAL10102,Ashmont,3747,36,994,2.3,NSW,2021
SAL10103,Ashtonfield,4589,39,2148,2.8,NSW,2021
SAL10104,Asquith,6160,36,2300,2.7,NSW,2021
SAL10105,Atholwood,68,50,1406,2.6,NSW,2021
SAL10106,Attunga,542,43,1428,2.5,NSW,2021
SAL10107,Auburn (NSW),39333,31,1533,3.3,NSW,2021
SAL10108,Auburn Vale,127,47,1812,2.8,NSW,2021
SAL10109,Austinmer,2725,42,2586,2.8,NSW,2021
SAL10110,Austral,6847,31,2168,3.1,NSW,2021
SAL10111,Austral Eden,145,52,1375,2.7,NSW,2021
SAL10112,Avalon Beach,10379,46,2481,2.8,NSW,2021
SAL10113,Avisford,45,50,1124,2.4,NSW,2021
SAL10114,Avoca (NSW),208,54,2250,2.7,NSW,2021
SAL10115,Avoca Beach,4708,43,2358,2.8,NSW,2021
SAL10116,Avon (NSW),0,0,0,0.0,NSW,2021
SAL10117,Avondale (NSW),1695,40,1524,2.4,NSW,2021
SAL10118,Avonside,157,47,2250,2.7,NSW,2021
SAL10119,Awaba,430,40,1726,2.8,NSW,2021
SAL10120,Aylmerton,195,51,1825,2.3,NSW,2021
SAL10121,Baan Baa,166,47,1770,2.5,NSW,2021
SAL10122,Babinda (NSW),14,59,1875,1.9,NSW,2021
SAL10123,Babyl Creek,4,64,575,1.0,NSW,2021
SAL10124,Back Creek (Bland - NSW),54,29,2250,3.4,NSW,2021
SAL10125,Back Creek (Gwydir - NSW),20,42,2250,3.6,NSW,2021
SAL10126,Back Creek (Mid-Coast - NSW),20,62,1375,2.4,NSW,2021
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),7,60,900,1.8,NSW,2021
SAL10128,Back Creek (Tenterfield - NSW),4,69,575,1.0,NSW,2021
SAL10129,Back Creek (Tweed - NSW),27,48,1062,2.6,NSW,2021
SAL10130,Back Forest,91,56,1374,2.9,NSW,2021
SAL10131,Backmede,153,46,1843,2.8,NSW,2021
SAL10132,Backwater,19,64,900,1.9,NSW,2021
SAL10133,Badgerys Creek,168,40,1271,3.0,NSW,2021
SAL10134,Badja,9,74,1187,1.7,NSW,2021
SAL10135,Baerami,93,48,1208,2.5,NSW,2021
SAL10136,Baerami Creek,27,41,1416,2.6,NSW,2021
SAL10137,Bagnoo,43,59,1437,2.3,NSW,2021
SAL10138,Bago,45,37,2083,3.4,NSW,2021
SAL10139,Bagotville,60,50,1749,2.4,NSW,2021
SAL10140,Bakers Creek (Mid-Coast - NSW),41,52,1375,2.6,NSW,2021
SAL10141,Bakers Creek (Nambucca Valley - NSW),24,57,366,1.5,NSW,2021
SAL10142,Bakers Creek (Uralla - NSW),13,59,1937,2.3,NSW,2021
SAL10143,Bakers Swamp,60,49,1791,2.2,NSW,2021
SAL10144,Balaclava (NSW),574,40,2023,2.9,NSW,2021
SAL10145,Balala,122,56,1375,2.2,NSW,2021
SAL10146,Balcolyn,1002,43,1525,2.5,NSW,2021
SAL10147,Bald Blair,53,34,1416,3.1,NSW,2021
SAL10148,Bald Hills (NSW),321,44,1487,2.7,NSW,2021
SAL10149,Bald Nob,20,44,1375,2.7,NSW,2021
SAL10150,Bald Ridge,17,25,1574,2.5,NSW,2021
SAL10151,Baldersleigh,55,49,1562,2.2,NSW,2021
SAL10152,Baldry,67,37,1625,3.0,NSW,2021
SAL10153,Balfours Peak,45,43,1012,3.0,NSW,2021
SAL10154,Balgowlah,8068,41,2681,2.5,NSW,2021
SAL10155,Balgowlah Heights,3546,43,4687,3.3,NSW,2021
SAL10156,Balgownie,5722,42,1912,2.6,NSW,2021
SAL10157,Balickera,18,37,2749,3.5,NSW,2021
SAL10158,Balladoran,140,48,1350,2.8,NSW,2021
SAL10159,Ballalaba,29,52,1125,2.3,NSW,2021
SAL10160,Balldale,168,47,1218,2.3,NSW,2021
SAL10161,Ballengarra,97,45,1483,2.9,NSW,2021
SAL10162,Ballimore,240,43,1857,2.6,NSW,2021
SAL10163,Ballina,9735,56,1013,2.0,NSW,2021
SAL10164,Ballyroe,3,54,725,1.0,NSW,2021
SAL10165,Balmain,10454,42,3039,2.2,NSW,2021
SAL10166,Balmain East,1900,46,3020,2.2,NSW,2021
SAL10167,Balmoral (Lake Macquarie - NSW),730,45,1931,2.6,NSW,2021
SAL10168,Balmoral (Wingecarribee - NSW),469,43,2147,3.0,NSW,2021
SAL10169,Balranald,1240,47,1197,2.3,NSW,2021
SAL10170,Bamarang,35,53,949,2.8,NSW,2021
SAL10171,Banda Banda,0,0,0,0.0,NSW,2021
SAL10172,Bandon Grove,135,51,1624,2.8,NSW,2021
SAL10173,Bangadang,11,23,1499,3.5,NSW,2021
SAL10174,Bangalee (NSW),818,46,2181,2.9,NSW,2021
SAL10175,Bangalow,2752,40,2097,2.7,NSW,2021
SAL10176,Bangheet,37,56,1562,2.0,NSW,2021
SAL10177,Bango,122,43,2625,2.6,NSW,2021
SAL10178,Bangor (NSW),5536,43,2626,2.9,NSW,2021
SAL10179,Banksia,3277,41,2018,2.8,NSW,2021
SAL10180,Banksmeadow,508,33,2225,2.0,NSW,2021
SAL10181,Bankstown,34933,34,1331,2.9,NSW,2021
SAL10182,Bankstown Aerodrome,5,69,1999,2.0,NSW,2021
