ssc,suburb_name,state
14640,SYDNEY SOUTH,NSW
14620,SYDNEY,NSW
14621,SYDNEY,NSW
14622,SYDNEY,NSW
14623,SYDNEY,NSW
14624,SYDNEY,NSW
14625,SYDNEY,NSW
14626,SYDNEY,NSW
14627,SYDNEY,NSW
14628,SYDNEY,NSW
15452,WOOLLAHRA,NSW
15195,WATERLOO,NSW
15196,WATERLOO,NSW
14990,UNSW SYDNEY,NSW
15263,WEST CHATSWOOD,NSW
15272,WEST RYDE,NSW
15291,WETHERILL PARK,NSW
15294,WETHERILL PARK DC,NSW
14629,SYDNEY,NSW
14641,SYDNEY SOUTH,NSW
14784,THE ROCKS,NSW
14630,SYDNEY,NSW
15470,WORLD SQUARE,NSW
14791,THE UNIVERSITY OF SYDNEY,NSW
14980,ULTIMO,NSW
14712,TAYLOR SQUARE,NSW
15455,WOOLLOOMOOLOO,NSW
15197,WATERLOO,NSW
15198,WATERLOO DC,NSW
15592,ZETLAND,NSW
14631,SYDNEY DOMESTIC AIRPORT,NSW
14633,SYDNEY INTERNATIONAL AIRPORT,NSW
15216,WAVERLEY,NSW
15453,WOOLLAHRA,NSW
14670,TAMARAMA,NSW
15058,VAUCLUSE,NSW
15202,WATSONS BAY,NSW
14723,TEMPE,NSW
15150,WAREEMBA,NSW
15285,WESTGATE,NSW
14991,UNSW SYDNEY,NSW
15218,WAVERTON,NSW
15404,WOLLSTONECRAFT,NSW
15338,WILLOUGHBY,NSW
15339,WILLOUGHBY EAST,NSW
15340,WILLOUGHBY NORTH,NSW
15271,WEST PYMBLE,NSW
14951,TURRAMURRA,NSW
15169,WARRAWEE,NSW
15078,WAHROONGA,NSW
15079,WAITARA,NSW
14744,TERREY HILLS,NSW
15298,WHEELER HEIGHTS,NSW
15368,WINGALA,NSW
15183,WARRINGAH MALL,NSW
15178,WARRIEWOOD,NSW
15179,WARRIEWOOD DC,NSW
15180,WARRIEWOOD SHOPPING SQUARE,NSW
14716,TAYLORS POINT,NSW
15297,WHALE BEACH,NSW
14754,THE BASIN,NSW
15461,WOOLWICH,NSW
14728,TENNYSON POINT,NSW
15273,WEST RYDE,NSW
14720,TELOPEA,NSW
14802,THORNLEIGH,NSW
15286,WESTLEIGH,NSW
15270,WEST PENNANT HILLS,NSW
