Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2223,13632,13632,84009,59146,0.79,10832,82055,65716,0.24,3286,4103,2304,13632,87155,61662,13632,3087,1080,0.09,1218,104408,27398,0.08,1117,69105,10621,0.76,10425,28607,15387,14816,230510,90955
2224,8922,8922,87285,54466,0.73,6482,77359,61795,0.25,2202,8490,3492,8922,90861,57064,8922,3493,841,0.09,793,115334,37021,0.08,757,86026,14487,0.73,6508,32869,15063,9683,263059,90580
2225,3487,3487,98059,68501,0.8,2800,94631,76442,0.21,747,3583,1878,3487,101640,71137,3487,3503,1340,0.09,323,78828,25670,0.09,306,47982,9348,0.77,2695,35593,20719,3926,255588,136260
2226,7962,7962,89496,66464,0.83,6571,90344,75000,0.2,1612,2403,710,7962,92768,69970,7962,3231,1348,0.08,633,622146,29934,0.07,583,644860,11379,0.79,6262,29956,18210,8892,222994,118530
2227,9494,9494,84808,63852,0.82,7798,85412,69999,0.19,1804,3021,1055,9494,88091,66716,9494,3258,1273,0.08,793,83203,28850,0.08,742,56423,11709,0.79,7525,27307,16534,10617,212486,107930
2228,12985,12985,80564,61570,0.81,10515,79490,67728,0.18,2332,3796,1586,12985,83808,64314,12985,3164,1192,0.09,1162,110070,28206,0.08,1073,86950,12460,0.78,10133,25662,15400,14047,181103,77328
2229,19443,19443,94018,63139,0.78,15254,86549,68792,0.19,3734,4991,2178,19443,97734,66418,19443,3633,1200,0.09,1767,112766,34106,0.09,1661,77907,14184,0.78,15182,33181,16779,21359,242585,101267
2230,20642,20642,100528,65788,0.77,15877,86372,69037,0.22,4526,6839,3204,20642,105117,69226,20642,4388,1304,0.1,2003,93421,31691,0.09,1890,59772,12635,0.79,16308,36282,17172,22872,306276,104342
2231,1451,1451,72245,53946,0.82,1196,69883,58846,0.2,287,5046,2493,1451,75020,56683,1451,2664,1043,0.11,164,60675,32877,0.1,150,38966,15218,0.77,1111,21938,12579,1675,159423,82100
2232,21815,21815,78331,63269,0.83,18181,80532,70453,0.16,3539,2987,1344,21815,81324,65930,21815,2957,1260,0.09,1907,90040,27865,0.08,1810,64661,11658,0.79,17254,23833,15706,24505,183228,91805
2233,18350,18350,74208,61066,0.84,15359,77892,68338,0.16,2964,2393,689,18350,77233,63670,18350,3007,1283,0.08,1441,75101,30180,0.07,1369,52486,11871,0.79,14418,21832,15335,20769,192327,112546
2234,19744,19744,80885,61234,0.82,16103,80838,68000,0.21,4220,3492,1456,19744,84311,64314,19744,3380,1193,0.08,1614,90773,31482,0.08,1519,63791,12736,0.78,15400,25924,15888,21976,228603,109937
2250,41593,41593,65811,50925,0.81,33608,65560,56152,0.12,5001,3815,1867,41593,68488,53107,41593,2583,805,0.1,4038,89601,29967,0.09,3821,63532,12842,0.75,31146,19294,11162,46053,153251,63850
2251,19523,19523,73752,49840,0.76,14852,70338,56559,0.16,3033,4555,2219,19523,77629,52340,19523,3843,887,0.11,2208,106168,33466,0.11,2098,76756,13770,0.73,14259,24725,12562,21681,193294,87502
2256,8692,8692,63125,46950,0.77,6681,64750,53933,0.14,1217,5369,2852,8692,65709,48908,8692,2560,730,0.09,816,76660,24416,0.09,758,56237,10674,0.71,6184,19209,10677,9907,175960,71031
2257,16489,16489,71222,47130,0.75,12363,67040,54984,0.15,2522,5854,3551,16489,74051,49444,16489,2772,762,0.1,1657,98040,32756,0.1,1582,74355,13586,0.71,11723,24417,11175,19093,184855,76881
2258,3217,3217,66722,51042,0.81,2607,65268,55243,0.15,473,3614,2543,3217,69500,54020,3217,2762,808,0.09,290,113012,31124,0.09,281,83039,16057,0.76,2448,19371,11526,3640,181742,77702
2259,36133,36133,59913,49306,0.83,30060,61585,54042,0.11,3849,3565,1404,36133,62643,51718,36133,2663,912,0.08,2979,204575,31752,0.08,2839,188345,15259,0.75,27023,16008,10220,39871,121118,54353
2260,15811,15811,83072,54768,0.76,12084,77189,59891,0.18,2887,4894,2604,15811,86890,57874,15811,3676,1020,0.11,1690,147213,40602,0.1,1621,97133,16692,0.76,11956,28457,14648,17605,235174,92000
2261,32153,32153,61529,49485,0.81,26101,61738,54109,0.12,3728,4327,2082,32153,64289,51981,32153,2736,957,0.09,3003,95199,31520,0.09,2866,72037,14110,0.75,24068,16836,10223,36087,140828,65534
2262,11101,11101,53756,46963,0.85,9411,56089,51097,0.08,887,2684,1157,11101,56171,49136,11101,2394,860,0.07,817,73756,32767,0.07,780,49197,13498,0.75,8306,12706,8698,12450,98161,46074
