Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2702,426,426,66232,52454,0.71,303,52911,50162,0.12,49,4902,1144,426,69529,55498,426,2772,520,0.11,46,207505,51729,0.11,46,163086,30559,0.76,322,17195,9905,460,108653,50354
2703,405,405,52565,45278,0.84,341,53951,49747,0.12,49,1685,266,405,55439,49205,405,2581,778,0.07,30,71851,28162,0.08,32,49896,17583,0.76,306,12162,8483,469,102267,47326
2705,6192,6192,54711,49518,0.81,5010,57125,53921,0.11,692,3330,1722,6192,57796,52058,6192,2516,638,0.07,456,110290,39554,0.07,447,100190,24889,0.74,4612,14099,9669,6606,135395,51213
2706,685,685,57054,53252,0.86,589,56626,54940,0.1,68,5629,1816,685,59740,55449,685,2355,824,0.05,37,117284,33151,0.05,37,88897,15414,0.79,543,13725,9422,769,115770,45486
2707,827,827,47213,44968,0.66,543,52937,50000,0.1,81,4812,2816,827,55751,52479,827,4322,334,0.11,88,152242,57056,0.1,79,173335,44337,0.71,586,15221,8923,851,211688,50798
2710,5880,5880,52725,45538,0.75,4404,54596,49942,0.11,638,4334,2860,5880,57225,48460,5880,3119,580,0.1,588,175584,50342,0.1,560,174582,28845,0.71,4162,14581,8997,6307,161848,61272
2711,1872,1872,55189,49318,0.77,1440,54912,50087,0.13,237,4615,1638,1872,59054,52160,1872,2769,574,0.11,214,155370,45312,0.12,217,127783,21484,0.74,1388,14370,9684,2033,142297,49322
2712,741,741,54227,42632,0.68,505,50320,46398,0.1,75,9865,6235,741,59486,45123,741,3544,410,0.11,82,200091,52689,0.11,78,178999,32030,0.67,500,15053,8755,800,152172,57380
2713,1571,1571,49402,42037,0.72,1129,52553,47674,0.1,156,3452,2172,1571,55528,45678,1571,3467,520,0.09,142,166189,57180,0.09,141,153702,34330,0.68,1072,13296,7930,1682,150818,59021
2714,1637,1637,53225,42777,0.7,1153,54543,47427,0.12,199,6586,2122,1637,57855,45460,1637,3073,675,0.1,160,102649,41758,0.09,154,84474,25540,0.69,1129,14582,8402,1810,185482,77989
2715,869,869,53529,47213,0.74,643,54650,51203,0.12,101,3980,2419,869,57419,51015,869,3348,656,0.09,82,146494,48104,0.09,79,136748,31705,0.74,643,13717,8838,963,113480,39947
2716,652,652,58516,45843,0.7,459,53965,49561,0.13,84,2948,1124,652,63247,48892,652,3566,496,0.09,59,171434,53557,0.09,56,130157,53635,0.73,478,16293,8996,709,250239,66542
2717,609,609,50284,40717,0.79,480,49447,45046,0.05,31,8296,4462,609,53029,42538,609,2654,407,0.1,58,169974,46803,0.09,57,148619,23008,0.66,402,13387,8640,675,106837,40415
2720,4676,4676,63847,51848,0.81,3779,64285,55872,0.11,529,4706,3224,4676,66755,54109,4676,2725,653,0.08,372,100891,53718,0.08,367,72536,33063,0.77,3591,17077,11032,5190,148797,69640
2721,112,112,38660,36260,0.54,61,42770,39750,0.14,16,14880,2423,112,43699,41780,112,2488,180,0.11,12,232884,129020,0.11,12,205994,111937,0.67,75,9151,4747,118,142966,54158
2722,1929,1929,58483,45578,0.78,1498,53542,48366,0.13,245,4278,2481,1929,62442,48553,1929,2892,488,0.1,195,106466,45729,0.1,195,79290,28126,0.71,1379,16653,9388,2109,154108,50251
2725,169,169,67147,50726,0.69,117,51421,44705,0.12,21,1952,1348,169,75956,62700,169,5169,810,0.15,26,782156,57948,0.16,27,723905,31180,0.71,120,19813,12021,191,203910,58241
2726,177,177,61323,42883,0.59,104,48528,46901,0.19,34,8349,5051,177,66285,44780,177,4628,187,0.16,29,95256,72328,0.16,29,82621,47087,0.66,117,21531,9791,178,177201,57395
2727,252,252,70510,48142,0.67,170,49616,45914,0.15,37,14659,4701,252,80607,52516,252,5855,535,0.07,18,125635,50348,0.08,19,94839,24085,0.76,191,21057,8783,266,263451,57864
2729,989,989,61313,47878,0.75,742,59367,52072,0.13,132,5353,1973,989,65796,51165,989,3884,648,0.12,114,160178,48276,0.11,111,130989,32519,0.75,737,16656,10483,1054,153669,71100
2730,767,767,52092,44521,0.78,598,51429,49439,0.1,73,3642,2729,767,54245,45976,767,1965,466,0.07,52,67262,26861,0.07,56,55684,19178,0.7,537,13907,7967,932,117968,55149
2731,4344,4344,63504,48732,0.75,3249,58177,51658,0.12,507,3796,2657,4344,67956,52179,4344,3658,806,0.09,408,119582,47331,0.09,386,97468,25014,0.74,3201,18575,10223,4746,197573,87438
2732,1088,1088,49782,40268,0.68,736,51986,46700,0.12,131,9446,3594,1088,54115,43618,1088,3544,482,0.09,98,103359,51384,0.09,95,81194,35405,0.66,717,13769,8274,1174,184229,75675
2733,357,357,47686,45449,0.69,246,49901,46454,0.07,26,2463,460,357,52528,49886,357,4015,531,0.08,30,191946,71891,0.08,30,169787,40507,0.71,255,13205,9100,373,156599,50158
2734,218,218,72359,45090,0.72,158,51341,42650,0.13,28,3599,3221,218,79897,49488,218,5496,468,0.1,22,141857,50445,0.1,22,123965,35254,0.72,157,25056,10378,224,215194,82406
2735,198,198,43612,42308,0.75,149,45214,39756,0.1,20,2601,1116,198,47619,45338,198,1849,274,0.08,15,112014,64014,0.08,15,81050,29178,0.7,139,9127,7127,214,76308,30286
2736,234,234,52352,44929,0.74,172,50065,48072,0.08,18,7426,1530,234,56689,49649,234,4181,518,0.05,12,302457,118052,0.06,13,261293,77370,0.68,160,14440,9298,257,109877,42210
2737,521,521,55003,42536,0.77,399,48741,47174,0.08,44,2932,2088,521,59164,45898,521,3262,588,0.04,22,612245,36204,0.04,21,663962,23188,0.71,368,17197,7431,650,72184,20501
2738,1328,1328,66760,53632,0.79,1045,64469,55520,0.12,159,2315,1956,1328,71170,56678,1328,3349,918,0.07,96,75274,23964,0.07,91,59933,14069,0.76,1008,19271,12311,1390,239940,85775
2739,877,877,60842,46939,0.78,686,54644,48530,0.1,91,7247,1685,877,64681,48683,877,3386,540,0.08,69,67323,25612,0.08,68,53105,17200,0.72,632,17958,8983,1999,105597,6896
2745,19556,19556,78495,62538,0.88,17170,73569,65949,0.18,3482,2049,36,19556,81585,65190,19556,3028,1260,0.07,1403,97746,30650,0.07,1346,73159,15211,0.81,15786,23584,14732,20937,158003,75502
2747,30812,30812,64052,56725,0.89,27297,66257,61238,0.12,3759,824,-61,30812,66581,58928,30812,2512,1169,0.08,2311,74843,21573,0.07,2189,58651,10770,0.79,24488,16446,12152,33149,95981,48699
2748,1235,1235,111580,57305,0.73,898,67164,57682,0.32,401,7169,4495,1235,116853,60496,1235,5001,770,0.07,91,297756,32821,0.07,84,267137,27286,0.77,952,45642,13593,1301,241653,71950
2749,10034,10034,67599,57018,0.86,8670,67754,61415,0.14,1400,1568,118,10034,70317,59458,10034,2669,1066,0.07,752,75934,25198,0.07,717,53594,12587,0.79,7949,18389,12850,10901,127849,62473
2750,28627,28627,65623,56417,0.86,24590,67414,61498,0.12,3531,2037,334,28627,68228,58680,28627,2568,1042,0.07,2058,76880,22806,0.07,1924,57538,10984,0.78,22432,17594,12454,31721,124576,57988
2752,3865,3865,69259,61845,0.87,3362,70812,64956,0.16,615,3393,441,3865,72202,64641,3865,2903,1252,0.08,294,73765,26400,0.07,286,51569,16044,0.81,3135,18396,14397,4167,130017,72115
2753,10395,10395,66242,52694,0.82,8496,65143,57352,0.16,1696,5864,2851,10395,68880,54926,10395,2514,792,0.1,1039,78387,35685,0.1,1006,54777,16615,0.76,7918,18903,11580,11415,139899,58491
2754,4328,4328,66091,54726,0.81,3503,68830,61691,0.14,605,5262,1444,4328,68699,57480,4328,2533,887,0.09,387,81877,26813,0.08,366,62908,15383,0.75,3261,18914,12853,4589,151112,70129
2756,21526,21526,68724,55194,0.84,17994,66649,59252,0.15,3195,4374,1645,21526,71574,58002,21526,2708,910,0.1,2101,94430,36016,0.09,2019,72632,17221,0.79,16920,19406,12132,23556,141568,62770
2757,554,554,67143,51236,0.77,426,64292,54813,0.19,104,5249,4198,554,70025,53576,554,2730,710,0.12,65,75852,32499,0.11,63,53301,19300,0.77,426,19399,11659,592,191165,72449
2758,5664,5664,71906,54255,0.78,4431,70561,60155,0.2,1106,4785,2354,5664,75137,57362,5664,3120,816,0.11,623,92509,32658,0.11,609,64909,18718,0.75,4274,22280,14026,6270,189005,87108
2759,15914,15914,63145,56872,0.87,13908,65820,61482,0.14,2230,603,-152,15914,65768,59110,15914,2585,1115,0.08,1228,66759,29312,0.07,1169,47405,13311,0.79,12612,16038,11987,17548,120400,61220
2760,20436,20436,57058,52709,0.88,18080,60192,57292,0.09,1796,-438,-856,20436,59380,54802,20436,2309,998,0.07,1460,54930,22307,0.07,1353,40292,9646,0.78,15844,13513,10336,22403,74536,33462
2761,20763,20763,61557,55623,0.9,18606,65019,60306,0.13,2785,-778,-686,20763,63936,58025,20763,2367,1191,0.08,1662,55079,24928,0.08,1560,40468,11578,0.79,16452,15302,11557,21960,87020,42045
2762,14400,14400,77416,68164,0.91,13081,81226,73215,0.16,2269,-1444,-1324,14400,80013,70811,14400,2556,1510,0.09,1290,124309,22100,0.08,1200,113267,9597,0.83,11896,21717,16271,14407,71836,39116
2763,20181,20181,69267,59977,0.88,17773,72961,65718,0.16,3215,-875,-741,20181,71755,62377,20181,2456,1229,0.09,1835,68047,25000,0.09,1718,51067,9502,0.8,16070,18930,13756,21532,106669,51429
2765,30741,30741,77559,65820,0.89,27241,77268,70308,0.17,5104,884,-453,30741,80303,68454,30741,2715,1418,0.09,2893,72477,24071,0.09,2729,55078,10602,0.82,25351,22132,15491,30971,99037,48947
2766,9578,9578,58215,52474,0.88,8408,61937,57530,0.12,1168,-629,-759,9578,60414,54532,9578,2185,1030,0.08,754,51149,25264,0.07,715,35429,10452,0.77,7408,14379,10620,10175,82305,36458
2767,13601,13601,60059,53318,0.87,11890,63647,58222,0.16,2211,-841,-1005,13601,62330,55331,13601,2257,1100,0.08,1137,65991,24226,0.08,1062,50006,10047,0.77,10420,15468,11263,14733,91393,38504
2768,16909,16909,78843,65214,0.87,14795,82304,72000,0.25,4255,-1344,-1204,16909,81767,68119,16909,2868,1374,0.09,1459,102145,27819,0.08,1363,83587,12469,0.8,13461,23903,16755,17955,124992,64254
2769,9519,9519,90151,76993,0.88,8399,93588,84205,0.28,2682,-2480,-1690,9519,93357,80147,9519,3188,1625,0.09,828,97355,26868,0.08,784,75368,11706,0.82,7850,28096,20978,9730,113447,68232
2770,30171,30171,50523,45845,0.85,25777,53993,51268,0.08,2291,318,-133,30171,52551,47748,30171,1976,700,0.07,2194,49871,23573,0.07,2055,34764,11405,0.71,21558,11975,8948,33345,63092,21713
2773,3783,3783,85895,62524,0.79,2987,85352,70000,0.23,860,2150,1122,3783,89567,65501,3783,3625,1145,0.1,360,108963,29894,0.09,345,67921,10203,0.76,2878,29529,17987,4325,246345,134149
2774,7769,7769,77896,61485,0.82,6398,77690,69881,0.17,1305,2636,1144,7769,81028,64237,7769,3021,1162,0.09,664,88324,22596,0.08,635,62626,9261,0.76,5889,25268,16463,8944,192333,105710
2775,850,850,62512,45620,0.7,595,62661,53191,0.15,130,20577,3348,850,64965,47782,850,2276,492,0.14,117,61204,33607,0.14,115,40387,16037,0.69,587,20672,10803,996,150911,68337
2776,2457,2457,68701,57561,0.83,2034,71819,63298,0.16,398,3021,285,2457,71657,59635,2457,2813,1074,0.11,261,72405,29470,0.1,243,49556,13269,0.76,1872,19940,14559,2819,181916,98612
2777,10584,10584,71095,57910,0.81,8592,73500,65170,0.16,1735,2716,1388,10584,74091,60519,10584,2936,1084,0.09,968,82594,30780,0.09,909,56516,12581,0.77,8130,21018,14333,12012,189598,103144
2778,1562,1562,65295,53114,0.8,1254,69493,61712,0.14,211,4148,2223,1562,68181,55061,1562,2877,982,0.12,191,58378,20096,0.11,170,34603,7726,0.75,1175,18616,13416,1746,191913,97854
2779,2930,2930,62353,52942,0.81,2381,67005,61555,0.11,321,3973,1845,2930,64770,54998,2930,2391,900,0.11,315,79314,20107,0.1,302,60380,7988,0.73,2139,17809,12937,3273,149467,83977
2780,7633,7633,61499,44833,0.72,5494,61683,51054,0.15,1121,5400,3742,7633,64167,46464,7633,2613,600,0.16,1185,75621,23512,0.15,1129,49429,9555,0.68,5228,19518,10648,8777,172332,69017
2782,3581,3581,67583,46418,0.7,2504,69408,55302,0.17,600,5798,4110,3581,70479,48756,3581,2823,724,0.15,521,84692,28133,0.14,502,53814,10928,0.68,2435,23078,13543,4069,227260,107715
2783,1623,1623,59497,48699,0.77,1256,64219,56043,0.12,194,4278,2786,1623,62026,51308,1623,2506,741,0.14,228,66268,27501,0.13,209,42103,11119,0.72,1168,16777,11973,1822,149008,77990
2784,772,772,62415,47572,0.79,611,67460,56358,0.13,104,3126,2084,772,64890,50631,772,2407,672,0.14,110,52925,33330,0.14,109,36841,15868,0.73,562,18423,11934,889,153354,80683
2785,2739,2739,61292,43903,0.67,1824,65125,53442,0.18,480,5963,4036,2739,64386,46248,2739,2925,617,0.17,474,78120,23686,0.17,453,54798,10456,0.66,1803,20534,11339,3097,217861,96356
2786,712,712,58740,40572,0.71,508,61391,46981,0.18,126,5614,3112,712,61239,42364,712,2322,478,0.17,118,58562,25994,0.16,112,38574,10178,0.65,462,19313,10610,823,187877,71807
2787,2586,2586,59964,50708,0.77,1984,62433,58283,0.12,310,5328,3022,2586,62857,53784,2586,2395,659,0.12,322,92242,35293,0.12,307,83118,24298,0.74,1916,16579,11090,2853,161292,65715
2790,7943,7943,61515,48799,0.79,6301,64498,55561,0.1,834,4991,2988,7943,64130,50943,7943,2459,704,0.1,763,87458,28515,0.09,736,69630,17573,0.73,5794,17500,10775,9052,163242,66678
2791,176,176,55284,47154,0.73,128,61010,58171,0.2,36,9331,6903,176,60294,54654,176,3447,790,0.1,18,179911,50260,0.1,17,178406,34190,0.7,123,15981,10655,183,280779,98495
2792,233,233,67622,51818,0.67,156,62769,56008,0.17,40,14772,4950,233,76834,53895,233,3157,550,0.11,25,182312,73487,0.1,24,150791,36786,0.71,166,21160,12466,245,160269,51650
2793,475,475,63101,42494,0.69,326,54431,49960,0.13,60,6938,4410,475,66954,44752,475,2247,343,0.11,54,122505,48924,0.12,55,105438,40289,0.69,326,22326,8763,517,149670,53697
2794,5762,5762,52909,45135,0.74,4285,53942,49742,0.11,621,5083,2851,5762,56108,47492,5762,2488,479,0.1,566,114147,34960,0.1,559,95572,25053,0.71,4080,14224,8325,6207,135653,52343
2795,25850,25850,64262,53283,0.83,21333,64178,58027,0.13,3244,4723,2282,25850,67165,55867,25850,2643,817,0.09,2280,115017,37022,0.09,2230,91186,20568,0.77,19802,17741,11723,28318,158319,67037
2797,258,258,56287,49062,0.78,201,62439,57659,0.12,30,3081,2922,258,60098,52050,258,2587,851,0.16,41,128220,43675,0.16,41,113457,27800,0.74,190,14991,9354,280,130424,61929
2798,1330,1330,77067,55156,0.74,982,74109,62916,0.18,243,5375,2679,1330,81953,59027,1330,3270,946,0.15,203,133196,46165,0.15,205,103577,29512,0.72,957,27635,14129,1420,200289,102670
2799,2479,2479,61796,53497,0.81,2019,64780,57888,0.12,287,3663,2239,2479,64929,55815,2479,2795,1001,0.1,236,107444,31557,0.09,230,88820,32066,0.76,1892,16532,11389,2673,130217,62804
2800,27825,27825,70009,55765,0.83,23141,68314,59766,0.14,3916,4973,2246,27825,73446,58595,27825,3159,1046,0.09,2551,109959,34419,0.09,2472,77535,17929,0.78,21805,20153,12203,30380,166013,68793
2803,155,155,57406,46111,0.67,104,58202,48722,0.11,17,5518,3374,155,60931,47326,155,3150,348,0.12,19,115625,57273,0.12,19,84623,54288,0.71,110,15309,8015,164,154811,57636
2804,1496,1496,51712,42766,0.73,1096,53846,48124,0.13,196,5625,3554,1496,56899,45734,1496,3112,466,0.14,213,157486,45140,0.14,206,128854,31336,0.7,1048,14527,8197,1635,136687,56446
2805,246,246,51299,46229,0.75,185,52206,46956,0.14,34,6360,2800,246,55217,49000,246,2655,452,0.13,31,129649,48575,0.13,31,122011,30937,0.71,175,14766,8285,284,106764,53866
2806,497,497,62381,44407,0.71,354,56145,52933,0.13,67,4568,1451,497,66368,47413,497,3289,590,0.12,59,148949,64007,0.12,59,140297,54891,0.7,346,21042,9279,527,131725,66670
2807,214,214,43675,38822,0.68,145,47241,43790,0.11,24,4806,2868,214,48962,41896,214,3425,466,0.11,24,120740,26740,0.11,23,129478,22872,0.69,147,10629,7175,228,94566,45455
2808,77,77,49535,39886,0.81,62,51709,40394,0.14,11,4622,4933,77,52297,42137,77,1724,590,0.25,19,52927,11188,0.22,17,44805,8826,0.71,55,12211,7758,93,121256,60847
2809,118,118,56494,46536,0.63,74,48617,46614,0.08,10,15248,4454,118,66102,49748,118,6364,372,0.14,16,285693,99659,0.13,15,287843,101630,0.7,83,17003,7513,133,179147,56672
2810,1698,1698,52196,43534,0.66,1127,50471,45883,0.15,251,5972,2677,1698,57382,47474,1698,3159,399,0.1,174,117881,56828,0.1,175,98653,34167,0.68,1155,14171,7894,1795,167921,67748
2817,105,105,41232,35181,0.57,60,45687,39506,0.11,12,3983,5086,105,53956,40279,105,4780,295,0.19,20,63485,46518,0.19,20,34270,12521,0.56,59,15158,6870,106,151442,72147
2818,472,472,53646,50056,0.79,374,61208,58068,0.12,59,3567,2761,472,58851,53868,472,2306,464,0.11,52,200510,59154,0.11,54,205447,49480,0.71,333,15782,11076,507,143977,60137
2820,3385,3385,50819,44004,0.76,2572,55316,50954,0.1,353,4592,2401,3385,54577,47344,3385,2586,550,0.09,299,157535,38133,0.09,298,139412,23856,0.68,2294,13663,9050,3614,117894,43169
2821,2647,2647,56378,47480,0.75,1975,56554,51717,0.12,317,4552,2944,2647,61478,50762,2647,2735,440,0.1,253,114777,44102,0.09,246,96836,29458,0.73,1922,15962,9242,2834,139419,50622
2822,195,195,45665,40378,0.7,136,58731,50336,0.07,14,3573,986,195,49570,42502,195,2966,316,0.14,27,90835,48311,0.14,28,73568,30004,0.65,126,13343,8205,199,123280,49716
2823,795,795,56591,48031,0.71,563,55801,50576,0.16,124,6139,3690,795,67158,54272,795,3146,418,0.1,77,269458,61219,0.09,75,236249,34124,0.72,573,16128,10349,817,153680,57083
2824,1257,1257,65665,50666,0.73,923,57149,52559,0.13,160,4769,2746,1257,76039,55407,1257,4181,632,0.1,131,110534,47163,0.1,123,94214,34553,0.74,935,19247,10655,1369,152284,45589
2825,1352,1352,58996,49567,0.77,1037,64816,55599,0.12,165,5625,2374,1352,66419,53590,1352,2944,673,0.09,126,246920,46396,0.09,122,236749,33830,0.74,999,16896,11133,1446,123341,50855
2826,126,126,61937,53662,0.61,77,54591,53718,0.15,19,7354,2973,126,67835,61104,126,4760,338,0.17,21,331189,168667,0.17,22,286213,102089,0.76,96,18223,10942,129,161703,58562
2827,1990,1990,50370,44460,0.72,1430,52868,48870,0.12,232,5828,2666,1990,57113,48504,1990,2547,403,0.1,196,173262,46066,0.1,193,155851,37036,0.67,1337,13613,8842,2052,114266,45169
2828,403,403,45555,39847,0.62,250,46129,43016,0.14,58,4791,2282,403,57232,43836,403,4221,236,0.15,60,139680,54934,0.15,59,139809,43490,0.61,246,15737,8380,428,161586,38822
2829,1678,1678,66223,44428,0.69,1160,54747,48874,0.12,198,3963,1768,1678,74931,47746,1678,3069,300,0.1,162,311691,69762,0.1,161,267646,52093,0.66,1112,23298,10655,1728,136645,37802
2830,26521,26521,63823,54042,0.84,22342,62674,57228,0.12,3214,4946,2418,26521,67170,56583,26521,2830,792,0.09,2288,104227,33330,0.08,2246,79470,19762,0.79,20819,16846,10816,28712,138801,50730
2831,1221,1221,51285,42824,0.68,831,57365,52004,0.14,174,6126,3515,1221,61771,50013,1221,2465,297,0.13,162,176215,63479,0.13,161,151825,50472,0.67,818,15471,8893,1320,113361,48876
2832,1282,1282,50401,43203,0.73,937,53594,48326,0.13,169,3867,1777,1282,70983,49374,1282,2991,294,0.08,97,321075,82529,0.08,98,270523,49508,0.65,829,15589,10090,1357,90265,25827
2833,286,286,59481,50399,0.73,208,55848,51458,0.07,19,3679,183,286,75134,54996,286,3376,294,0.11,31,149194,40044,0.1,29,130761,44506,0.71,203,16105,9974,318,89608,17074
2834,946,946,44631,35714,0.74,702,47133,40276,0.12,116,5520,2768,946,47229,37970,946,1540,210,0.11,101,158272,38260,0.11,107,127492,19193,0.63,597,11173,6217,1062,60436,22813
2835,2105,2105,72269,59253,0.83,1757,74756,64950,0.13,269,2104,835,2105,75540,62304,2105,2534,649,0.08,159,153750,54654,0.08,159,108641,33849,0.79,1666,20687,15078,2415,136131,63464
2836,337,337,61111,47911,0.74,249,58370,52287,0.07,24,2222,832,337,65166,52527,337,2069,359,0.13,43,128444,44249,0.13,44,99176,25546,0.69,234,18275,9767,406,88801,25093
2838,69,69,50792,48797,0.78,54,57775,54290,0.03,2,-11419,-11419,69,55970,49649,69,2048,861,0.06,4,216161,43310,0.06,4,163062,35258,0.68,47,12423,10366,92,51302,11157
2839,539,539,55921,48963,0.77,415,55017,52679,0.08,45,3507,3900,539,60421,51663,539,2125,299,0.09,47,266439,64829,0.08,45,226518,35997,0.72,386,14680,10168,613,78072,22976
2840,1380,1380,62705,52940,0.76,1046,62617,58560,0.13,177,2001,1117,1380,67626,56380,1380,2778,495,0.1,137,301350,53562,0.09,127,273156,42777,0.75,1033,17237,11404,1536,103267,38313
2842,338,338,43016,33106,0.64,215,52017,48150,0.12,42,1404,1155,338,48029,40196,338,2274,152,0.14,49,179856,47172,0.14,49,155651,44587,0.57,191,13377,7755,354,78460,41406
2843,670,670,48472,38148,0.71,479,51576,45924,0.14,94,5659,2638,670,56324,42177,670,3286,348,0.13,87,123726,26500,0.12,83,125815,36066,0.67,449,13321,7330,721,133100,49806
2844,677,677,55784,44447,0.71,483,54137,47698,0.12,82,4726,2826,677,59713,47231,677,2853,450,0.12,83,137185,31970,0.12,81,127116,30778,0.69,470,17589,9377,714,112813,48553
2845,1089,1089,64537,54352,0.86,938,66724,58468,0.08,89,-821,172,1089,66774,56425,1089,2093,982,0.08,86,146448,30874,0.08,84,128928,18643,0.78,851,16872,11738,1235,144940,65728
2846,135,135,59967,46807,0.76,102,65154,54614,0.13,18,10553,6831,135,63046,49432,135,3038,537,0.18,24,134107,19778,0.19,25,111027,11767,0.74,100,16980,11164,162,149150,63424
2847,1189,1189,60354,50028,0.83,984,65001,56475,0.1,115,1655,918,1189,62697,51909,1189,2272,950,0.08,101,78483,39000,0.08,101,66478,24425,0.74,881,16276,10646,1399,145036,67269
2848,604,604,48940,37689,0.74,449,53797,44727,0.08,47,9720,6274,604,50605,39362,604,1621,360,0.1,63,70181,31275,0.1,62,57157,18066,0.65,393,13304,7022,735,119442,44395
2849,811,811,53493,39382,0.68,555,60855,49480,0.16,130,4663,1521,811,58488,44481,811,3230,570,0.18,147,93959,29800,0.19,154,70621,21328,0.65,529,16491,9180,876,164833,75785
2850,10943,10943,66284,50109,0.8,8757,71008,57048,0.15,1611,4613,2136,10943,69742,52883,10943,2823,865,0.11,1211,101807,34388,0.11,1206,87536,25771,0.74,8119,20047,11565,11829,154302,68241
2852,1994,1994,57374,44826,0.8,1602,66279,52136,0.11,224,3958,2776,1994,60963,47227,1994,2393,735,0.1,193,111305,35986,0.1,205,98144,32161,0.7,1387,17301,10580,2162,123359,61345
2864,482,482,71847,51388,0.73,354,64695,58080,0.15,71,4110,2640,482,77374,55744,482,3390,676,0.11,53,102995,50301,0.11,52,85046,48101,0.72,348,24554,12716,519,144618,72934
2865,492,492,60129,54953,0.77,380,61494,58172,0.12,60,16214,4852,492,64539,57978,492,2963,784,0.13,62,204025,65362,0.12,61,181005,51581,0.79,387,15007,10776,541,130105,75165
2866,1765,1765,61024,49710,0.75,1332,60844,53805,0.16,275,5667,3509,1765,67774,52384,1765,5720,764,0.11,202,92597,38896,0.11,192,77431,27326,0.74,1311,17501,9861,1829,155672,69570
2867,328,328,53260,44380,0.73,239,52330,46863,0.16,51,7309,5794,328,61795,51155,328,3073,455,0.14,47,81423,46545,0.14,45,65087,30905,0.67,220,14742,8599,350,127714,57037
2868,352,352,38043,40098,0.69,243,49468,45885,0.15,52,4827,2615,352,42287,43298,352,3574,359,0.08,28,315341,115188,0.08,28,385920,97268,0.65,229,10176,6585,378,146725,51057
2869,724,724,44488,37825,0.7,506,51071,44443,0.14,101,7519,3936,724,55796,45286,724,3303,319,0.11,78,119971,45334,0.11,78,113935,33816,0.62,447,12965,9185,757,120252,39418
2870,6647,6647,63490,51042,0.81,5382,63674,55984,0.12,824,4333,2042,6647,67116,53860,6647,2698,873,0.08,528,100920,37676,0.08,517,84912,20440,0.76,5025,17927,10542,7236,140540,58214
2871,5116,5116,59020,50176,0.77,3961,59738,53344,0.13,646,5014,2764,5116,63401,53000,5116,2857,754,0.09,484,129672,45632,0.09,484,111311,25335,0.74,3801,16262,9886,5553,144501,52868
2873,383,383,41588,38696,0.59,226,51774,49484,0.12,45,5646,3668,383,59256,49178,383,3571,295,0.16,63,146248,32100,0.15,56,130438,41454,0.62,239,11425,7851,353,143989,56346
2874,230,230,44493,35986,0.6,139,49101,42992,0.13,30,9426,3533,230,51986,45532,230,3319,386,0.13,31,159378,60804,0.13,30,146370,39044,0.62,142,12536,6551,239,154141,49007
2875,458,458,50214,37596,0.64,295,51834,42147,0.12,56,7601,5664,458,58284,42098,458,3683,397,0.13,58,103394,43463,0.13,59,79648,28274,0.65,299,14275,8270,472,149751,45316
2876,238,238,38421,35086,0.65,155,48282,37811,0.09,22,8759,4120,238,46952,40519,238,2984,251,0.11,27,335316,124738,0.11,27,298166,159548,0.6,142,13671,7937,250,125656,37820
2877,1957,1957,53180,45144,0.74,1457,56910,51213,0.11,208,6017,2330,1957,62107,50145,1957,2022,384,0.09,185,182950,51968,0.09,170,161354,43922,0.71,1381,14439,9643,2107,121578,39270
2878,182,182,79242,53436,0.54,98,49765,45691,0.12,22,12929,5454,182,88679,57900,182,4742,384,0.12,22,194184,38741,0.11,20,114059,35128,0.71,130,28581,13040,177,161216,36797
2879,242,242,63980,51182,0.76,183,62772,54265,0.07,18,2678,1084,242,70323,56808,242,2279,544,0.09,22,149859,47340,0.09,22,93577,22816,0.74,180,17800,12036,304,91660,30323
2880,9117,9117,62526,51977,0.84,7670,64773,56828,0.12,1056,2852,1521,9117,64765,54259,9117,2034,750,0.07,598,85538,27218,0.06,573,68609,15841,0.76,6926,16633,11229,10606,129063,54203
2898,306,306,58451,49638,0.8,246,49689,47627,0.16,48,11933,4218,306,59949,50838,306,1498,398,0.18,55,154347,22338,0.17,53,128740,9215,0.78,238,13687,6971,332,153678,51607
2900,3112,3112,72092,65330,0.81,2528,74730,71588,0.11,328,637,36,3112,74410,68131,3112,2306,961,0.07,214,215621,16463,0.07,205,204696,6422,0.84,2614,17993,14183,3116,160615,57270
2902,9967,9967,75656,63895,0.77,7691,78360,71712,0.14,1416,496,82,9967,78384,66928,9967,2704,892,0.07,664,90848,23522,0.06,612,69125,10766,0.8,8008,21001,14808,10799,222842,105012
2903,6159,6159,75647,65693,0.77,4732,78943,74126,0.16,966,1132,516,6159,78283,68379,6159,2607,950,0.06,381,63655,25281,0.06,367,42677,10621,0.81,4995,20712,15253,6623,223328,106704
